agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1,39,200,1,41,0,5.400000000000016,60.00000000000015,6486.0,0,1.0,11,42
2,39,15,0,1,0,0.0,0.0,63.0,4,-1.2,7,1
3,39,15,0,1,0,0.0,0.0,81.0,0,-1.0,9,1
0,40,9,1,0,0,0.0,5.000000000000001,59.0,3,-1.2,6,1
1,40,200,1,41,0,5.400000000000005,60.00000000000004,6396.0,0,2.0,8,42
2,40,9,0,0,0,0.0,0.0,36.0,1,-1.2,4,0
3,40,9,2,0,0,0.0,11.0,77.0,2,-1.2,6,2
0,41,15,1,1,0,0.0,5.000000000000002,110.0,3,-1.2,9,2
1,41,200,0,41,0,5.400000000000015,54.00000000000014,6972.0,1,2.0,11,41
2,41,15,0,1,0,0.0,0.0,99.0,0,-1.0,7,1
3,41,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
0,42,9,1,0,1,0.0,5.000000000000001,77.0,0,-1.0,7,1
1,42,200,0,40,0,4.799999999999997,47.99999999999997,4506.0,1,2.0,12,40
2,42,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,42,15,1,1,0,0.0,5.000000000000002,86.0,0,0.0,10,2
0,43,45,1,6,0,0.0,5.000000000000003,275.0,0,0.0,14,7
1,43,50,0,7,0,0.0,0.0,519.0,0,-1.0,11,7
2,43,63,0,9,0,0.0,0.0,381.0,1,-1.2,21,9
3,43,15,0,1,0,0.0,0.0,69.0,0,-1.0,8,1
0,44,15,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,9,2
1,44,56,0,8,0,0.0,0.0,492.0,1,-1.2,10,8
2,44,15,0,1,0,0.0,0.0,81.0,0,-1.0,8,1
3,44,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,45,9,1,0,1,0.0,5.000000000000001,71.0,0,-1.0,6,1
1,45,200,1,38,0,3.5999999999999885,41.999999999999886,5592.0,0,2.0,8,39
2,45,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,6,1
3,45,15,1,1,0,0.0,5.000000000000001,92.0,0,-1.0,7,2
0,46,15,0,1,0,0.0,0.0,87.0,1,-1.2,7,1
1,46,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
2,46,21,0,2,0,0.0,0.0,120.0,1,-1.2,8,2
3,46,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,47,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,4,1
1,47,21,1,2,0,0.0,5.000000000000002,119.0,0,0.0,8,3
2,47,9,0,0,0,0.0,0.0,36.0,1,-1.2,4,0
3,47,15,0,1,0,0.0,0.0,81.0,0,-1.0,6,1
0,48,9,1,0,0,0.0,5.000000000000001,77.0,2,-1.2,4,1
1,48,200,1,42,0,6.000000000000014,66.00000000000013,6756.0,1,2.0,12,43
2,48,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,48,15,1,1,0,0.0,5.000000000000002,68.0,0,0.0,7,2
0,49,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
1,49,200,0,41,0,5.400000000000018,54.00000000000018,6768.0,0,1.0,9,41
2,49,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
3,49,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,7,1
0,50,15,0,1,1,0.0,0.0,87.0,3,-1.2,9,1
1,50,200,1,42,0,6.000000000000016,66.00000000000016,8478.0,0,1.0,11,43
2,50,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,50,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,51,15,1,1,0,0.0,5.000000000000001,92.0,0,0.0,7,2
1,51,200,1,44,0,7.20000000000003,78.0000000000003,10698.0,0,1.0,10,45
2,51,15,0,1,0,0.0,0.0,57.0,0,-1.0,7,1
3,51,15,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,7,2
0,52,15,0,1,0,0.0,0.0,57.0,2,-1.2,6,1
1,52,200,0,40,0,4.800000000000011,48.000000000000114,6312.0,0,1.0,14,40
2,52,21,1,2,0,0.0,5.000000000000001,119.0,0,0.0,9,3
3,52,9,0,0,0,0.0,0.0,36.0,0,-1.0,2,0
0,53,15,0,1,0,0.0,0.0,87.0,2,-1.2,10,1
1,53,200,1,38,0,3.5999999999999868,41.999999999999865,5592.0,0,2.0,12,39
2,53,21,1,2,0,0.0,5.000000000000003,149.0,0,-1.0,11,3
3,53,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,54,15,1,1,1,0.0,5.000000000000002,104.0,2,-1.2,10,2
1,54,200,0,38,0,3.599999999999987,35.99999999999987,3936.0,0,1.0,10,38
2,54,15,0,1,0,0.0,0.0,81.0,0,-1.0,8,1
3,54,39,0,5,0,0.0,0.0,213.0,0,-1.0,15,5
0,55,9,1,0,0,0.0,5.000000000000001,65.0,2,-1.2,6,1
1,55,200,0,38,0,3.599999999999988,35.99999999999987,4752.0,0,1.0,9,38
2,55,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,55,15,1,1,0,0.0,5.000000000000001,68.0,0,0.0,8,2
0,56,200,1,36,0,2.3999999999999866,29.999999999999865,5022.0,0,1.0,25,37
1,56,200,0,34,5,1.1999999999999915,11.999999999999917,2652.0,0,1.0,18,34
2,56,21,1,2,0,0.0,5.000000000000002,113.0,0,0.0,11,3
3,56,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,57,81,1,12,0,0.0,5.000000000000002,719.0,0,-1.0,13,13
1,57,200,1,43,0,6.600000000000012,72.00000000000011,7356.0,0,1.0,15,44
2,57,21,0,2,0,0.0,0.0,78.0,2,-1.2,6,2
3,57,21,1,2,0,0.0,5.000000000000001,89.0,0,-1.0,7,3
0,58,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,7,1
1,58,38,0,5,0,0.0,0.0,351.0,1,-1.2,11,5
2,58,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
3,58,21,1,2,0,0.0,5.000000000000002,167.0,0,-1.0,11,3
0,59,9,1,0,0,0.0,5.000000000000001,71.0,3,-1.2,4,1
1,59,200,0,39,0,4.199999999999996,41.99999999999996,4986.0,0,1.0,11,39
2,59,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,4,1
3,59,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,60,15,1,1,1,0.0,5.000000000000001,104.0,2,-1.2,8,2
1,60,200,1,44,0,7.200000000000031,78.0000000000003,10524.0,1,2.0,13,45
2,60,15,1,1,0,0.0,5.000000000000002,86.0,0,0.0,8,2
3,60,21,1,2,0,0.0,5.000000000000003,149.0,0,-1.0,10,3
0,61,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
1,61,200,0,41,0,5.400000000000023,54.00000000000022,7164.0,0,1.0,16,41
2,61,15,0,1,0,0.0,0.0,57.0,1,-1.2,8,1
3,61,21,1,2,0,0.0,5.000000000000002,119.0,0,-1.0,12,3
0,62,33,1,4,0,0.0,5.000000000000005,215.0,0,0.0,14,5
1,62,200,2,42,0,6.000000000000025,72.00000000000024,8316.0,0,2.0,15,44
2,62,21,0,2,1,0.0,0.0,96.0,2,-1.2,11,2
3,62,15,0,1,0,0.0,0.0,87.0,0,-1.0,8,1
0,63,39,1,5,0,0.0,5.000000000000005,284.0,3,-1.2,13,6
1,63,200,1,42,0,6.000000000000009,66.00000000000009,6744.0,0,1.0,17,43
2,63,33,0,4,0,0.0,0.0,216.0,2,-1.2,12,4
3,63,21,0,2,1,0.0,0.0,96.0,0,-1.0,7,2
0,64,21,0,2,0,0.0,0.0,102.0,2,-1.2,11,2
1,64,39,1,5,0,0.0,5.000000000000004,260.0,0,0.0,12,6
2,64,33,0,4,0,0.0,0.0,174.0,0,-1.0,13,4
3,64,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,65,200,0,36,0,2.399999999999993,23.999999999999925,4092.0,3,0.8,20,36
1,65,21,0,2,0,0.0,0.0,120.0,0,-1.0,9,2
2,65,33,1,4,0,0.0,5.000000000000003,155.0,0,0.0,12,5
3,65,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,66,38,0,5,0,0.0,0.0,351.0,0,-1.0,15,5
1,66,26,0,3,1,0.0,0.0,285.0,0,-1.0,8,3
2,66,9,0,0,0,0.0,0.0,36.0,2,-1.2,5,0
3,66,9,1,0,1,0.0,5.000000000000001,53.0,0,-1.0,6,1
0,67,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
1,67,27,1,3,0,0.0,5.000000000000003,158.0,0,0.0,12,4
2,67,15,0,1,0,0.0,0.0,75.0,0,-1.0,8,1
3,67,15,0,1,0,0.0,0.0,81.0,0,-1.0,9,1
0,68,15,0,1,2,0.0,0.0,117.0,3,-1.2,9,1
