i,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
17762,3,35,200,1,47,14,9.000000000000036,96.00000000000034,10314.0,0,1.0,22,48
17919,0,36,50,0,7,9,0.0,0.0,645.0,0,-1.0,15,7
18220,1,36,200,1,42,3,6.00000000000002,66.00000000000018,7050.0,0,1.8,32,43
17797,2,36,9,0,0,0,0.0,0.0,36.0,0,-1.0,8,0
18221,3,36,200,4,36,10,2.3999999999999964,47.99999999999996,7392.0,0,1.8,34,40
18846,0,37,200,1,34,34,1.1999999999999946,17.999999999999943,2472.0,0,1.8,33,35
18327,1,37,27,0,3,0,0.0,0.0,171.0,0,-1.0,9,3
18847,2,37,200,1,40,1,4.799999999999988,53.99999999999988,5964.0,0,1.0,35,41
18848,3,37,200,0,43,28,6.600000000000023,66.00000000000023,8340.0,2,1.7666666666666666,29,43
18953,0,38,27,0,3,2,0.0,0.0,207.0,3,-1.1,13,3
19366,1,38,200,0,36,2,2.39999999999999,23.9999999999999,3072.0,0,1.0,39,36
19367,2,38,200,1,38,0,3.599999999999986,41.99999999999986,4470.0,0,1.0,23,39
19151,3,38,92,0,14,4,0.0,0.0,1584.0,0,-1.0,22,14
19736,0,39,93,0,14,6,0.0,0.0,684.0,3,-1.1,34,14
19755,1,39,99,0,15,1,0.0,0.0,699.0,2,-1.1,36,15
19958,2,39,200,0,45,0,7.800000000000038,78.00000000000037,12168.0,1,1.8,25,45
19959,3,39,200,0,34,5,1.199999999999989,11.99999999999989,3108.0,0,1.0,29,34
20031,0,40,27,3,3,0,0.0,17.0,260.0,0,-1.0,13,6
20012,1,40,15,1,1,0,0.0,5.000000000000002,74.0,0,-0.1999999999999999,5,2
19994,2,40,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
20025,3,40,21,0,2,0,0.0,0.0,120.0,4,-1.1,12,2
20434,0,41,122,1,19,18,0.0,5.999999999999976,1191.0,0,-0.1999999999999999,30,20
20185,1,41,39,0,5,3,0.0,0.0,315.0,2,-1.1,17,5
20591,2,41,200,0,38,0,3.599999999999986,35.99999999999986,5598.0,0,1.0,32,38
20592,3,41,200,0,37,14,2.99999999999999,29.999999999999897,5712.0,0,1.0,36,37
20680,0,42,27,0,3,0,0.0,0.0,135.0,4,-1.1,14,3
20861,1,42,200,0,36,0,2.399999999999989,23.999999999999886,3456.0,1,1.8,18,36
20694,2,42,33,0,4,0,0.0,0.0,216.0,0,-1.0,15,4
20628,3,42,9,2,0,1,0.0,11.0,77.0,0,-0.1999999999999999,5,2
21029,0,43,81,3,12,1,0.0,17.00000000000001,725.0,0,-1.0,25,15
20987,1,43,39,1,5,1,0.0,5.000000000000002,200.0,0,-0.1999999999999999,18,6
20963,2,43,27,0,3,0,0.0,0.0,171.0,3,-1.1,12,3
20945,3,43,21,2,2,1,0.0,11.0,155.0,0,-0.1999999999999999,12,4
21542,0,44,200,2,39,5,4.199999999999995,53.99999999999995,4884.0,0,1.0,41,41
21231,1,44,51,0,7,0,0.0,0.0,351.0,2,-1.1,26,7
21543,2,44,200,2,39,0,4.199999999999993,53.99999999999993,6768.0,0,1.8,28,41
21269,3,44,63,0,9,3,0.0,0.0,507.0,4,-1.1,22,9
22020,0,45,200,4,47,4,9.000000000000028,114.00000000000028,12102.0,0,1.8,29,51
21722,1,45,51,0,7,2,0.0,0.0,375.0,3,-1.1,26,7
22021,2,45,200,3,46,0,8.400000000000025,102.00000000000024,11556.0,1,1.8,23,49
21651,3,45,27,0,3,3,0.0,0.0,195.0,0,-1.0,12,3
22456,0,46,200,0,36,37,2.399999999999993,23.999999999999925,3414.0,0,1.0,23,36
22110,1,46,27,1,3,3,0.0,5.000000000000003,218.0,0,-1.0,15,4
22056,2,46,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
22457,3,46,200,0,52,24,12.00000000000004,120.00000000000038,14364.0,2,1.7666666666666666,22,52
22509,0,47,15,0,1,3,0.0,0.0,117.0,4,-1.1,6,1
22755,1,47,200,1,36,1,2.3999999999999875,29.99999999999988,4218.0,0,1.8,27,37
22492,2,47,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
22629,3,47,74,7,11,1,0.0,41.99999999999998,2091.0,3,-1.1,22,18
23386,0,48,200,0,33,38,0.59999999999999,5.9999999999999,4860.0,0,1.0,32,33
22885,1,48,33,0,4,0,0.0,0.0,210.0,2,-1.1,13,4
23387,2,48,200,2,36,5,2.399999999999992,35.999999999999915,6756.0,0,1.0,32,38
23388,3,48,200,0,47,22,9.000000000000028,90.00000000000028,9078.0,0,1.0,30,47
23495,0,49,39,4,5,0,0.0,23.000000000000007,356.0,0,-1.0,15,9
23446,1,49,15,0,1,0,0.0,0.0,63.0,0,-1.0,6,1
23488,2,49,32,0,4,0,0.0,0.0,360.0,0,-1.0,14,4
23466,3,49,21,0,2,1,0.0,0.0,108.0,3,-1.1,9,2
24114,0,50,200,0,35,20,1.7999999999999994,17.999999999999993,1752.0,0,1.0,37,35
23577,1,50,21,0,2,2,0.0,0.0,138.0,2,-1.1,13,2
24115,2,50,200,0,37,0,2.9999999999999862,29.99999999999986,4020.0,0,1.0,31,37
24116,3,50,200,0,38,16,3.599999999999988,35.99999999999988,3678.0,0,1.0,31,38
24211,0,51,27,0,3,1,0.0,0.0,117.0,3,-1.1,11,3
24198,1,51,21,1,2,0,0.0,5.000000000000003,113.0,0,-0.1999999999999999,12,3
24229,2,51,44,0,6,0,0.0,0.0,462.0,0,-1.0,14,6
24200,3,51,21,0,2,2,0.0,0.0,144.0,2,-1.1,9,2
24694,0,52,200,2,42,1,6.000000000000008,72.00000000000007,6966.0,1,1.8,33,44
24372,1,52,39,1,5,1,0.0,5.000000000000006,254.0,0,-0.1999999999999999,18,6
24695,2,52,200,1,42,1,6.000000000000003,66.00000000000001,7482.0,0,1.0,24,43
24337,3,52,27,0,3,2,0.0,0.0,207.0,0,-1.0,11,3
24800,0,53,27,1,3,2,0.0,5.000000000000005,176.0,0,-0.1999999999999999,13,4
24819,1,53,33,0,4,0,0.0,0.0,210.0,0,-1.0,18,4
25154,2,53,200,0,37,0,2.999999999999987,29.99999999999987,5112.0,1,1.8,23,37
25155,3,53,200,0,38,4,3.5999999999999868,35.999999999999865,6138.0,0,1.0,19,38
25714,0,54,176,0,28,30,0.0,0.0,2880.0,4,-1.1,37,28
25285,1,54,33,0,4,0,0.0,0.0,186.0,2,-1.1,19,4
25763,2,54,200,1,42,2,6.000000000000002,66.00000000000001,8100.0,0,1.0,32,43
25764,3,54,200,0,47,19,9.000000000000028,90.00000000000028,10386.0,0,1.0,36,47
25821,0,55,15,1,1,1,0.0,5.000000000000001,68.0,0,-0.1999999999999999,7,2
26377,1,55,200,1,37,6,2.999999999999989,35.999999999999886,4332.0,2,0.9,38,38
26378,2,55,200,1,38,0,3.5999999999999868,41.999999999999865,6810.0,0,1.0,20,39
26379,3,55,200,0,39,5,4.199999999999993,41.99999999999993,5220.0,1,1.8,26,39
26575,0,56,68,7,10,5,0.0,41.99999999999998,1200.0,0,-0.1999999999999999,20,17
26558,1,56,57,0,8,0,0.0,0.0,360.0,2,-1.1,15,8
26414,2,56,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
26569,3,56,62,0,9,6,0.0,0.0,507.0,4,-1.1,16,9
26653,0,57,27,3,3,0,0.0,17.0,326.0,0,-1.0,10,6
26647,1,57,21,1,2,0,0.0,5.000000000000003,101.0,0,-0.1999999999999999,9,3
26634,2,57,15,0,1,0,0.0,0.0,87.0,1,-1.1,7,1
26635,3,57,15,1,1,0,0.0,5.000000000000001,68.0,0,-0.1999999999999999,6,2
26849,0,58,63,0,9,8,0.0,0.0,501.0,0,-1.0,14,9
26687,1,58,9,0,0,1,0.0,0.0,42.0,2,-1.1,6,0
27124,2,58,200,1,36,0,2.3999999999999857,29.999999999999854,4524.0,0,1.8,26,37
27125,3,58,200,0,38,5,3.599999999999987,35.99999999999987,5010.0,0,1.0,22,38
27381,0,59,75,0,11,5,0.0,0.0,549.0,2,-1.1,30,11
27632,1,59,200,0,38,1,3.5999999999999885,35.999999999999886,4722.0,4,0.9,27,38
27633,2,59,200,0,48,0,9.60000000000004,96.00000000000038,13068.0,0,1.0,21,48
27257,3,59,33,1,4,3,0.0,5.000000000000001,239.0,0,-0.1999999999999999,11,5
27666,0,60,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
28062,1,60,200,0,37,0,2.9999999999999862,29.99999999999986,5292.0,4,0.9,22,37
28063,2,60,200,0,46,0,8.400000000000027,84.00000000000027,10254.0,0,1.0,20,46
27705,3,60,21,0,2,2,0.0,0.0,126.0,0,-1.0,8,2
28120,0,61,15,0,1,1,0.0,0.0,75.0,3,-1.1,6,1
28564,1,61,200,0,37,0,2.999999999999989,29.999999999999886,4434.0,4,0.9,30,37
28565,2,61,200,1,45,0,7.800000000000018,84.00000000000017,9570.0,0,1.8,24,46
28339,3,61,87,0,13,1,0.0,0.0,669.0,4,-1.1,20,13
29178,0,62,200,0,33,29,0.5999999999999981,5.9999999999999805,1974.0,0,1.0,28,33
28623,1,62,15,0,1,1,0.0,0.0,87.0,2,-1.1,11,1
29179,2,62,200,1,36,1,2.399999999999988,29.99999999999988,3822.0,0,1.0,28,37
29180,3,62,200,0,39,18,4.199999999999996,41.99999999999996,4758.0,0,1.0,35,39
29237,0,63,15,0,1,2,0.0,0.0,105.0,0,-1.0,9,1
29621,1,63,200,0,36,1,2.399999999999987,23.99999999999987,4416.0,4,0.9,24,36
29622,2,63,200,0,43,0,6.600000000000003,66.00000000000003,7740.0,0,1.0,24,43
29276,3,63,27,0,3,3,0.0,0.0,183.0,0,-1.0,13,3
29703,0,64,21,1,2,1,0.0,5.000000000000001,143.0,0,-0.1999999999999999,9,3
30074,1,64,200,0,41,1,5.400000000000016,54.00000000000016,6054.0,1,0.9,31,41
29738,2,64,32,0,4,0,0.0,0.0,312.0,0,-1.0,11,4
30075,3,64,200,2,36,5,2.399999999999991,35.99999999999991,4686.0,0,1.0,33,38
30700,0,65,200,3,37,32,2.999999999999991,47.99999999999991,4362.0,0,1.8,40,40
30181,1,65,27,1,3,0,0.0,5.000000000000003,146.0,0,-0.1999999999999999,14,4
30701,2,65,200,1,39,3,4.199999999999996,47.99999999999995,6564.0,0,1.0,30,40
30702,3,65,200,1,41,27,5.400000000000029,60.00000000000029,7782.0,3,0.9,33,42
31381,0,66,200,1,37,22,2.9999999999999964,35.999999999999964,3150.0,0,1.0,34,38
31024,1,66,81,0,12,2,0.0,0.0,552.0,0,-1.0,18,12
31382,2,66,200,0,41,0,5.399999999999999,53.99999999999999,5928.0,0,1.0,33,41
31383,3,66,200,1,37,18,2.9999999999999862,35.99999999999986,3996.0,0,1.8,38,38
31560,0,67,45,0,6,3,0.0,0.0,402.0,0,-1.0,16,6
32026,1,67,200,1,35,6,1.7999999999999896,23.999999999999897,3552.0,0,1.8,41,36
32027,2,67,200,1,35,1,1.7999999999999865,23.999999999999865,4770.0,0,1.0,32,36
32028,3,67,200,0,36,5,2.39999999999999,23.9999999999999,3774.0,0,1.0,37,36
32277,0,68,63,0,9,4,0.0,0.0,471.0,3,-1.1,30,9
32689,1,68,200,2,36,4,2.3999999999999915,35.999999999999915,3852.0,1,1.8,42,38
32690,2,68,200,1,39,1,4.2,47.99999999999999,6300.0,0,1.0,29,40
32691,3,68,200,1,39,5,4.199999999999997,47.99999999999996,5046.0,0,1.8,37,40
32875,0,69,51,0,7,3,0.0,0.0,357.0,2,-1.1,21,7
33174,1,69,200,0,38,1,3.599999999999988,35.99999999999987,4584.0,4,0.9,25,38
33175,2,69,200,0,48,0,9.60000000000003,96.0000000000003,11700.0,0,1.0,32,48
32823,3,69,33,0,4,2,0.0,0.0,234.0,0,-1.0,19,4
33598,0,70,200,2,44,3,7.200000000000009,84.00000000000009,9684.0,1,1.8,24,46
33228,1,70,15,0,1,1,0.0,0.0,75.0,0,-1.0,9,1
33599,2,70,200,2,42,1,6.000000000000004,72.00000000000003,6624.0,0,1.0,24,44
33211,3,70,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
33704,0,71,27,0,3,2,0.0,0.0,159.0,0,-1.0,13,3
34057,1,71,200,0,38,1,3.599999999999992,35.99999999999992,5394.0,0,1.0,33,38
33721,2,71,32,0,4,0,0.0,0.0,288.0,3,-1.1,11,4
34058,3,71,200,3,34,6,1.1999999999999922,29.99999999999992,5118.0,0,1.8,35,37
34667,0,72,200,5,46,20,8.400000000000016,114.00000000000016,8334.0,1,1.8,39,51
34140,1,72,21,0,2,0,0.0,0.0,84.0,2,-1.1,7,2
34668,2,72,200,4,43,5,6.600000000000032,90.00000000000031,10284.0,0,1.8,36,47
34646,3,72,189,0,30,17,0.0,0.0,5736.0,4,-1.1,28,30
34954,0,73,75,4,11,4,0.0,23.00000000000001,650.0,0,-1.0,28,15
34918,1,73,63,0,9,2,0.0,0.0,387.0,3,-1.1,27,9
35205,2,73,200,0,39,0,4.200000000000042,42.00000000000042,8742.0,0,1.0,26,39
35206,3,73,200,0,36,3,2.3999999999999866,23.999999999999865,4794.0,0,1.0,29,36
35879,0,74,200,1,43,24,6.6,71.99999999999999,4380.0,0,1.0,39,44
35504,1,74,75,0,11,5,0.0,0.0,489.0,2,-1.1,34,11
35880,2,74,200,0,43,3,6.600000000000002,66.00000000000001,8010.0,2,0.9,34,43
35881,3,74,200,0,38,24,3.6000000000000245,36.00000000000024,7482.0,0,1.0,29,38
36221,0,75,93,0,14,10,0.0,0.0,672.0,1,-1.1,32,14
36155,1,75,69,1,10,4,0.0,5.000000000000005,539.0,0,-1.0,26,11
36207,2,75,86,0,13,3,0.0,0.0,1137.0,0,-1.0,29,13
36329,3,75,200,2,47,3,9.000000000000044,102.00000000000044,13248.0,0,1.8,30,49
37002,0,76,200,2,35,28,1.7999999999999958,29.999999999999957,2652.0,0,1.8,53,37
36627,1,76,75,0,11,3,0.0,0.0,489.0,2,-1.1,37,11
37003,2,76,200,2,37,4,2.999999999999986,41.99999999999986,6060.0,0,1.8,41,39
37004,3,76,200,0,42,20,6.000000000000025,60.00000000000025,7974.0,2,0.9,41,42
37182,0,77,51,0,7,5,0.0,0.0,615.0,3,-1.1,23,7
37183,1,77,51,0,7,2,0.0,0.0,327.0,0,-1.0,31,7
37333,2,77,200,0,51,0,11.400000000000048,114.00000000000044,16674.0,0,1.0,23,51
37112,3,77,27,0,3,4,0.0,0.0,201.0,0,-1.0,11,3
37768,0,78,200,2,44,2,7.200000000000016,84.00000000000016,9096.0,1,1.8,30,46
37410,1,78,21,0,2,0,0.0,0.0,120.0,0,-1.0,10,2
37769,2,78,200,2,42,1,6.000000000000015,72.00000000000014,7824.0,0,1.0,25,44
37393,3,78,15,0,1,0,0.0,0.0,63.0,0,-1.0,9,1
37946,0,79,45,0,6,5,0.0,0.0,300.0,3,-1.1,20,6
38091,1,79,93,1,14,3,0.0,5.0,743.0,4,-1.1,34,15
38306,2,79,200,0,37,0,3.000000000000006,30.00000000000006,7368.0,0,1.0,29,37
38307,3,79,200,0,39,4,4.200000000000024,42.00000000000024,7098.0,0,1.0,25,39
38546,0,80,140,16,22,2,0.0,95.9999999999999,6270.0,0,-1.0,30,38
38445,1,80,39,1,5,2,0.0,5.000000000000004,296.0,2,-1.1,22,6
38414,2,80,27,0,3,1,0.0,0.0,183.0,2,-1.1,14,3
38433,3,80,33,0,4,3,0.0,0.0,168.0,4,-1.1,16,4
39231,0,81,200,3,38,26,3.5999999999999948,53.99999999999995,3084.0,0,1.8,46,41
38892,1,81,87,0,13,0,0.0,0.0,567.0,2,-1.1,32,13
