,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
617,155.0,1.0,0.17484008528784648,27.936034115138593,0.11940298507462686,2.0616204690831497,21.665245202558577,2828.4307036247333,0.3300639658848614,17.750533049040513,469
618,155.0,2.0,0.9733096085409253,28.423487544483987,0.2669039145907473,2.3542704626334454,29.382562277580007,2843.7811387900356,0.36797153024911033,21.2135231316726,562
619,155.0,3.0,0.75,26.1875,2.875,1.0124999999999977,14.624999999999975,2190.375,0.20625,29.4375,16
620,156.0,0.0,0.9203539823008849,32.07079646017699,1.0685840707964602,4.44269911504425,49.949115044247804,4343.592920353983,0.409070796460177,24.809734513274336,452
621,156.0,1.0,0.15778251599147122,28.113006396588485,0.11940298507462686,2.0678038379530856,21.624733475479687,2850.055437100213,0.3321961620469083,17.803837953091683,469
622,156.0,2.0,0.9537366548042705,28.6423487544484,0.2669039145907473,2.385587188612093,29.578291814946553,2873.359430604982,0.4174377224199288,21.26334519572954,562
623,156.0,3.0,0.8125,26.25,2.9375,0.9499999999999976,14.374999999999975,2204.75,0.26875,29.5,16
624,157.0,0.0,0.9269911504424779,32.26327433628319,1.075221238938053,4.458185840707967,50.14380530973453,4393.736725663717,0.39800884955752214,24.86283185840708,452
625,157.0,1.0,0.15778251599147122,28.275053304904052,0.11940298507462686,2.065031982942425,21.597014925373077,2871.652452025586,0.31300639658848617,17.863539445628998,469
626,157.0,2.0,0.905693950177936,28.864768683274022,0.2669039145907473,2.4190391459074667,29.62455516014228,2902.9839857651245,0.395373665480427,21.2864768683274,562
627,157.0,3.0,0.9375,26.4375,2.9375,0.9624999999999976,15.249999999999975,2220.0,0.3625,29.5625,16
628,158.0,0.0,0.9247787610619469,32.466814159292035,1.0774336283185841,4.480309734513277,50.35176991150444,4444.075221238938,0.4006637168141593,24.878318584070797,452
629,158.0,1.0,0.17270788912579957,28.430703624733475,0.12153518123667377,2.0584221748400795,21.62046908315559,2893.272921108742,0.3098081023454158,17.87633262260128,469
630,158.0,2.0,0.9252669039145908,29.016014234875446,0.2669039145907473,2.409786476868321,29.64946619217075,2932.633451957295,0.32135231316725976,21.30782918149466,562
631,158.0,3.0,0.75,26.75,2.9375,1.0499999999999976,14.999999999999975,2234.625,0.2375,29.5625,16
632,159.0,0.0,0.9646017699115044,32.65929203539823,1.081858407079646,4.495796460176994,50.745575221238965,4494.820796460177,0.4300884955752213,24.891592920353983,452
633,159.0,1.0,0.16919739696312364,28.66160520607375,0.12147505422993492,2.097180043383942,21.98698481561816,2935.1952277657265,0.33579175704989156,17.954446854663775,461
634,159.0,2.0,0.9679715302491103,29.176156583629894,0.2669039145907473,2.40587188612099,29.866548042704554,2962.5,0.35907473309608545,21.334519572953738,562
635,159.0,3.0,0.6666666666666666,27.0,3.066666666666667,1.0999999999999974,14.999999999999973,2248.4,0.2533333333333333,30.2,15
636,160.0,0.0,0.9690265486725663,32.89380530973451,1.084070796460177,4.536504424778764,51.179203539823035,4546.0,0.47013274336283184,24.924778761061948,452
637,160.0,1.0,0.1565217391304348,28.839130434782607,0.12391304347826088,2.1034782608695592,21.973913043478202,2960.9217391304346,0.3245652173913044,17.963043478260868,460
638,160.0,2.0,1.008896797153025,29.330960854092528,0.2669039145907473,2.3987544483985697,30.040925266903844,2992.5409252669037,0.3501779359430605,21.368327402135233,562
639,160.0,3.0,0.7333333333333333,27.066666666666666,3.066666666666667,1.0399999999999976,14.799999999999974,2263.2,0.18666666666666665,30.333333333333332,15
640,161.0,0.0,0.9070796460176991,33.1283185840708,1.084070796460177,4.577212389380533,51.21460176991153,4597.2146017699115,0.40398230088495574,24.966814159292035,452
641,161.0,1.0,0.20217391304347826,28.995652173913044,0.12391304347826088,2.09739130434782,22.18695652173907,2983.108695652174,0.358695652173913,17.97826086956522,460
642,161.0,2.0,1.0533807829181494,29.49644128113879,0.2669039145907473,2.3980427046263277,30.300711743772172,3022.841637010676,0.37437722419928826,21.402135231316727,562
643,161.0,3.0,0.8,27.133333333333333,3.066666666666667,0.9799999999999974,14.599999999999973,2277.8,0.18666666666666665,30.333333333333332,15
644,162.0,0.0,0.9800884955752213,33.31637168141593,1.0884955752212389,4.590044247787613,51.780973451327455,4648.995575221239,0.45176991150442475,25.00221238938053,452
645,162.0,1.0,0.15869565217391304,29.202173913043477,0.12391304347826088,2.121304347826081,22.16521739130429,3005.2608695652175,0.35956521739130437,18.017391304347825,460
646,162.0,2.0,1.0729537366548043,29.672597864768683,0.2669039145907473,2.4037366548042636,30.47508896797146,3053.316725978648,0.3708185053380783,21.430604982206404,562
647,162.0,3.0,1.2,27.133333333333333,3.066666666666667,0.8799999999999975,15.999999999999973,2293.8,0.38666666666666666,30.333333333333332,15
