episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
189,137.0,6516.0,2987.0,11948.0,3,40,21.25,85
190,41.0,1956.0,658.75,2635.0,1,33,12.0,48
191,36.0,6510.0,2731.5,10926.0,0,43,20.5,82
192,47.0,5136.0,2074.25,8297.0,1,38,22.5,90
193,75.0,8058.0,2997.75,11991.0,1,44,21.5,86
194,120.0,5166.0,2061.0,8244.0,2,39,20.5,82
195,237.0,5820.0,1673.0,6692.0,5,40,14.75,59
196,36.0,8520.0,2186.0,8744.0,0,44,12.0,48
197,59.0,8088.0,3622.25,14489.0,1,44,24.25,97
198,65.0,6102.0,3121.25,12485.0,1,39,27.75,111
199,86.0,3768.0,1327.0,5308.0,2,34,15.25,61
200,36.0,7506.0,3268.5,13074.0,0,43,24.25,97
201,63.0,8118.0,2118.0,8472.0,1,44,13.0,52
202,140.0,5268.0,1554.5,6218.0,4,41,15.25,61
203,230.0,5694.0,3405.5,13622.0,4,38,29.25,117
204,42.0,6984.0,3835.5,15342.0,0,41,28.5,114
205,47.0,3096.0,1533.25,6133.0,1,35,18.25,73
206,47.0,5772.0,1618.75,6475.0,1,37,12.25,49
207,84.0,3576.0,988.25,3953.0,2,36,10.75,43
208,75.0,9246.0,2495.75,9983.0,1,45,15.5,62
209,41.0,10050.0,3901.25,15605.0,1,45,22.75,91
210,179.0,6588.0,2853.5,11414.0,3,42,21.75,87
211,174.0,7542.0,3016.25,12065.0,2,42,21.75,87
212,53.0,3168.0,1563.5,6254.0,1,35,17.75,71
213,81.0,5064.0,1764.5,7058.0,1,40,15.25,61
214,65.0,4542.0,1373.75,5495.0,1,35,12.5,50
215,98.0,4062.0,2552.0,10208.0,2,37,27.5,110
216,75.0,7566.0,1970.25,7881.0,1,42,11.75,47
217,63.0,3588.0,1091.75,4367.0,1,34,12.0,48
218,81.0,1935.0,585.75,2343.0,1,29,8.75,35
219,36.0,3204.0,1159.25,4637.0,0,35,14.25,57
220,122.0,4296.0,2484.5,9938.0,2,40,26.5,106
221,177.0,5568.0,2873.25,11493.0,3,39,28.25,113
222,57.0,6714.0,1854.5,7418.0,1,44,14.25,57
223,41.0,10002.0,2587.25,10349.0,1,46,13.25,53
224,479.0,9504.0,3216.5,12866.0,7,45,24.25,97
225,65.0,5196.0,2312.0,9248.0,1,37,23.25,93
226,71.0,8082.0,3174.5,12698.0,1,43,21.25,85
227,57.0,7632.0,2048.0,8192.0,1,43,13.25,53
228,47.0,255.0,116.0,464.0,1,5,2.0,8
229,75.0,6348.0,1736.25,6945.0,1,44,13.75,55
230,65.0,8094.0,2989.25,11957.0,1,44,21.0,84
231,36.0,3546.0,2200.5,8802.0,0,37,26.25,105
232,57.0,4836.0,1468.5,5874.0,1,40,15.0,60
233,98.0,8160.0,3944.75,15779.0,2,45,24.0,96
234,96.0,8052.0,2921.0,11684.0,2,46,22.25,89
235,63.0,5676.0,3062.25,12249.0,1,38,28.0,112
236,59.0,3576.0,1319.75,5279.0,1,38,15.75,63
237,69.0,9552.0,4084.25,16337.0,1,44,23.0,92
238,98.0,3930.0,2349.5,9398.0,2,38,26.0,104
239,65.0,5250.0,3296.75,13187.0,2,38,28.0,112
240,47.0,3450.0,1042.25,4169.0,1,36,11.75,47
241,69.0,7722.0,2504.0,10016.0,1,42,19.25,77
242,36.0,6564.0,1975.5,7902.0,0,42,15.75,63
243,203.0,5334.0,3410.75,13643.0,3,39,28.75,115
244,212.0,4218.0,1727.75,6911.0,5,36,19.75,79
245,65.0,2886.0,917.0,3668.0,2,34,11.75,47
246,63.0,7734.0,3290.0,13160.0,1,44,23.0,92
247,174.0,5436.0,1569.5,6278.0,4,40,14.0,56
248,47.0,3120.0,862.25,3449.0,1,34,9.75,39
249,344.0,4854.0,2917.25,11669.0,5,40,29.0,116
250,71.0,4830.0,2580.5,10322.0,2,42,26.75,107
251,47.0,6000.0,2032.0,8128.0,1,40,16.5,66
252,86.0,5922.0,2812.25,11249.0,2,38,26.75,107
253,120.0,5394.0,2806.5,11226.0,2,40,28.25,113
254,41.0,5190.0,1406.5,5626.0,1,39,11.75,47
255,137.0,2910.0,1467.25,5869.0,3,35,19.0,76
256,101.0,4302.0,1836.5,7346.0,3,35,18.75,75
257,47.0,3516.0,1257.5,5030.0,1,36,15.0,60
258,65.0,3186.0,986.0,3944.0,1,35,12.25,49
259,114.0,6252.0,2286.0,9144.0,2,40,20.5,82
260,77.0,7134.0,2521.25,10085.0,1,42,20.0,80
261,108.0,633.0,299.75,1199.0,2,12,5.5,22
262,77.0,2094.0,677.75,2711.0,2,24,9.0,36
263,110.0,7008.0,3657.5,14630.0,2,40,28.25,113
264,263.0,4332.0,2680.25,10721.0,6,39,26.75,107
265,110.0,972.0,384.5,1538.0,2,17,6.75,27
266,90.0,2502.0,755.0,3020.0,2,34,11.0,44
267,63.0,6288.0,3716.25,14865.0,1,39,28.25,113
268,108.0,7860.0,3225.0,12900.0,2,44,22.0,88
269,36.0,5106.0,1869.0,7476.0,0,41,16.25,65
270,87.0,3708.0,1431.0,5724.0,1,36,17.0,68
271,47.0,9276.0,3329.75,13319.0,1,45,21.75,87
272,87.0,5262.0,3368.25,13473.0,1,37,27.25,109
273,92.0,6078.0,2274.5,9098.0,2,40,19.75,79
