episode,min_total_days,max_total_days,average_total_days
546,180.0,7782.0,4186.5
547,41.0,7644.0,3079.25
548,74.0,8016.0,2455.25
549,42.0,6996.0,1927.25
550,117.0,6990.0,3320.25
551,41.0,5982.0,1685.75
552,47.0,351.0,201.25
553,41.0,9006.0,3462.5
554,95.0,6852.0,1804.75
555,141.0,7992.0,4161.75
556,63.0,5304.0,2370.75
557,63.0,297.0,125.0
558,84.0,7620.0,4342.5
559,68.0,9498.0,3535.25
560,36.0,4656.0,2202.0
561,75.0,5574.0,1574.75
562,75.0,485.0,178.0
563,57.0,5886.0,3267.75
564,69.0,5178.0,2174.75
565,120.0,6570.0,4308.0
566,99.0,5844.0,2617.5
567,36.0,6720.0,1838.0
568,174.0,6726.0,3180.0
569,36.0,8004.0,5049.0
570,71.0,5748.0,1498.0
571,125.0,6474.0,4250.75
572,36.0,6744.0,3525.0
573,105.0,3144.0,1530.5
574,59.0,4248.0,1157.75
575,80.0,6648.0,3623.0
576,104.0,3522.0,1690.75
577,57.0,534.0,214.5
578,47.0,9402.0,2414.5
579,36.0,6432.0,3081.0
580,120.0,5826.0,1662.5
581,53.0,5484.0,1492.0
582,36.0,8970.0,3666.75
583,41.0,4848.0,1953.5
584,41.0,6702.0,2872.25
585,77.0,3258.0,1691.5
586,192.0,4212.0,2818.5
587,69.0,7548.0,2882.75
588,77.0,5802.0,1528.0
589,47.0,5478.0,2799.5
590,113.0,5028.0,2819.75
591,120.0,6858.0,3484.5
592,41.0,10146.0,3338.75
593,300.0,8994.0,5056.5
594,123.0,6546.0,3470.25
595,57.0,9396.0,3612.0
596,53.0,810.0,329.0
597,135.0,7686.0,2126.25
598,375.0,5982.0,3083.25
599,207.0,9840.0,2757.75
600,108.0,6018.0,3153.0
601,57.0,8010.0,3203.75
602,57.0,6642.0,2979.75
603,93.0,7032.0,3929.25
604,36.0,9498.0,2755.25
605,140.0,5208.0,2436.5
606,71.0,372.0,191.5
607,63.0,6636.0,3849.75
608,186.0,7542.0,3159.0
609,189.0,6870.0,3226.5
610,57.0,6618.0,2501.25
611,81.0,8316.0,4572.75
612,69.0,7578.0,3139.5
613,215.0,6630.0,3042.5
614,312.0,3900.0,2001.0
615,71.0,7404.0,1924.0
616,141.0,6072.0,3692.25
617,36.0,7044.0,4204.5
618,65.0,3072.0,1447.0
619,77.0,189.0,132.25
620,119.0,1029.0,527.5
621,63.0,3558.0,1671.5
622,86.0,5622.0,2308.75
623,90.0,7368.0,4072.5
624,252.0,5916.0,2847.0
625,234.0,6720.0,3264.0
626,36.0,5322.0,2404.5
627,47.0,669.0,337.25
628,77.0,6780.0,1937.75
629,108.0,6858.0,2927.25
630,138.0,6378.0,3486.0
631,41.0,6906.0,3153.5
632,87.0,7770.0,4298.25
633,216.0,7218.0,3958.5
634,138.0,10038.0,4164.75
635,315.0,5244.0,2689.25
636,132.0,9318.0,3959.25
637,69.0,5034.0,2109.0
638,65.0,4734.0,2303.0
639,65.0,6594.0,1729.0
640,132.0,5334.0,2316.5
641,525.0,8346.0,4193.25
642,36.0,6348.0,3014.75
643,186.0,4842.0,2076.0
644,266.0,6528.0,4818.5
645,86.0,6984.0,2742.5
646,42.0,6816.0,4288.5
647,36.0,6168.0,1669.5
648,47.0,3612.0,978.75
649,198.0,7284.0,4596.0
650,222.0,6102.0,3040.5
651,36.0,204.0,114.0
652,63.0,10248.0,3960.75
653,71.0,3066.0,880.5
654,42.0,6024.0,3573.0
655,47.0,5292.0,1550.0
656,63.0,9132.0,3461.25
657,312.0,5076.0,3069.0
658,36.0,7962.0,2036.75
659,84.0,4050.0,2469.0
660,36.0,8034.0,2270.25
661,42.0,8652.0,4561.5
662,189.0,6882.0,3420.0
663,81.0,6324.0,3782.25
664,114.0,6462.0,2807.25
665,107.0,6444.0,2695.25
666,108.0,6798.0,3435.0
667,120.0,6714.0,3352.5
668,162.0,3810.0,1089.5
669,125.0,5574.0,2744.5
670,71.0,6102.0,1607.75
671,41.0,4590.0,1603.25
672,59.0,885.0,429.25
673,65.0,5874.0,1545.25
674,69.0,845.0,342.0
675,171.0,7332.0,3280.25
676,206.0,2862.0,1473.5
677,81.0,7962.0,2206.5
678,57.0,7758.0,4044.75
679,81.0,6366.0,3145.5
680,81.0,8406.0,3504.0
681,117.0,8676.0,4508.25
682,86.0,9480.0,3848.75
683,36.0,6282.0,2645.25
684,63.0,9384.0,3573.5
685,74.0,4818.0,1381.75
686,81.0,6354.0,3992.25
687,71.0,4074.0,1978.25
688,165.0,6036.0,2534.0
689,156.0,10860.0,4223.25
690,144.0,6726.0,2862.75
691,105.0,4602.0,1337.5
692,144.0,8400.0,3524.0
693,80.0,4806.0,1364.5
694,41.0,8544.0,3200.75
695,59.0,6162.0,2579.5
696,300.0,7212.0,3195.75
697,75.0,7278.0,2055.5
698,59.0,990.0,463.0
699,75.0,7758.0,3525.0
700,161.0,6234.0,3557.75
701,36.0,5760.0,2830.5
702,75.0,5532.0,2349.75
703,390.0,8250.0,3713.25
704,156.0,7104.0,3645.75
705,102.0,5142.0,2291.75
706,47.0,5916.0,1543.75
707,102.0,6534.0,4066.5
