episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
123,225.0,7638.0,3027.0,12108.0,5,43,22.75,91,39,200,122.5,490
124,36.0,8400.0,2273.0,9092.0,0,44,14.5,58,9,200,76.25,305
125,41.0,6150.0,1667.0,6668.0,1,44,14.0,56,9,200,73.25,293
126,36.0,10980.0,2899.25,11597.0,0,47,15.25,61,9,200,74.5,298
127,203.0,5994.0,1686.25,6745.0,5,41,14.75,59,33,200,79.25,317
128,36.0,8526.0,2275.25,9101.0,0,44,14.25,57,9,200,74.75,299
129,36.0,10110.0,3849.0,15396.0,0,47,23.5,94,9,200,116.5,466
130,114.0,9414.0,3593.75,14375.0,2,46,24.75,99,21,200,128.5,514
131,131.0,3906.0,1136.5,4546.0,3,37,12.75,51,21,200,74.75,299
132,41.0,7536.0,3255.5,13022.0,1,42,23.75,95,9,200,121.0,484
133,93.0,9714.0,2701.25,10805.0,1,44,17.0,68,15,200,89.75,359
134,126.0,6318.0,2789.0,11156.0,2,40,20.75,83,21,200,112.0,448
135,36.0,5286.0,2441.0,9764.0,0,39,20.25,81,9,200,109.0,436
136,36.0,11484.0,4308.0,17232.0,0,49,23.0,92,9,200,110.5,442
137,36.0,6396.0,2672.75,10691.0,0,41,20.5,82,9,200,107.5,430
138,36.0,8958.0,2295.0,9180.0,0,45,12.25,49,9,200,62.75,251
139,87.0,7224.0,1946.0,7784.0,1,42,13.25,53,15,200,70.25,281
140,86.0,9768.0,5124.5,20498.0,2,46,31.25,125,15,200,153.75,615
141,69.0,5496.0,2413.5,9654.0,1,40,21.5,86,15,200,116.5,466
142,36.0,12234.0,4682.25,18729.0,0,50,23.5,94,9,200,112.0,448
143,36.0,8856.0,2927.0,11708.0,0,47,21.0,84,9,200,106.0,424
144,41.0,6540.0,2610.5,10442.0,1,42,22.0,88,9,200,118.0,472
145,87.0,6318.0,2789.25,11157.0,1,43,21.25,85,15,200,109.0,436
146,63.0,6660.0,2797.5,11190.0,1,43,21.0,84,15,200,110.5,442
147,36.0,9888.0,2531.0,10124.0,0,47,12.75,51,9,200,61.25,245
148,189.0,6786.0,3301.5,13206.0,3,42,23.5,94,27,200,122.5,490
149,36.0,125.0,77.5,310.0,0,3,1.5,6,9,21,15.0,60
150,171.0,6402.0,2021.25,8085.0,3,38,17.0,68,27,200,100.0,400
151,36.0,8292.0,2890.5,11562.0,0,43,20.0,80,9,200,107.5,430
152,57.0,6360.0,2598.0,10392.0,1,42,21.25,85,15,200,113.5,454
153,104.0,5562.0,1606.0,6424.0,2,42,14.5,58,15,200,77.5,310
154,57.0,6918.0,2736.0,10944.0,1,43,21.0,84,15,200,110.5,442
155,147.0,5844.0,2661.5,10646.0,3,42,22.5,90,27,200,118.0,472
156,53.0,9594.0,2543.5,10174.0,1,46,14.5,58,9,200,71.5,286
157,81.0,6870.0,3021.0,12084.0,1,42,22.25,89,15,200,119.25,477
158,75.0,8814.0,3083.25,12333.0,1,45,20.75,83,15,200,109.0,436
159,36.0,7332.0,2993.25,11973.0,0,44,20.5,82,9,200,106.0,424
160,41.0,10500.0,2893.0,11572.0,1,47,16.25,65,9,200,80.5,322
161,80.0,6312.0,1649.5,6598.0,2,41,11.75,47,15,200,62.75,251
162,194.0,8430.0,3803.0,15212.0,6,47,31.0,124,39,200,159.75,639
163,75.0,7044.0,1874.25,7497.0,1,42,12.75,51,15,200,70.25,281
164,86.0,10860.0,4282.25,17129.0,1,46,22.5,90,15,200,107.5,430
165,36.0,10224.0,3783.0,15132.0,0,46,21.25,85,9,200,107.5,430
166,107.0,9630.0,4427.75,17711.0,3,45,25.5,102,21,200,122.5,490
167,183.0,8730.0,3747.75,14991.0,3,45,23.75,95,27,200,118.0,472
168,47.0,9768.0,2506.0,10024.0,1,48,13.5,54,9,200,62.75,251
169,102.0,8238.0,4696.5,18786.0,2,44,30.5,122,21,200,155.25,621
170,126.0,9126.0,2438.25,9753.0,2,46,14.25,57,21,200,73.25,293
171,120.0,8232.0,2183.0,8732.0,2,44,13.75,55,21,200,70.25,281
172,119.0,8586.0,2301.5,9206.0,3,43,13.75,55,21,200,73.0,292
173,99.0,8214.0,2182.0,8728.0,3,44,14.0,56,27,200,71.75,287
174,141.0,8196.0,3208.5,12834.0,3,43,21.5,86,27,200,113.5,454
175,36.0,5682.0,2271.5,9086.0,0,41,20.0,80,9,200,106.0,424
176,161.0,5526.0,1682.75,6731.0,3,40,14.75,59,21,200,83.5,334
177,138.0,10494.0,2814.5,11258.0,2,47,15.75,63,21,200,79.25,317
178,95.0,4908.0,2255.75,9023.0,2,40,20.5,82,21,200,110.5,442
179,47.0,4896.0,1326.25,5305.0,1,39,12.5,50,9,200,70.25,281
180,90.0,7722.0,3018.0,12072.0,2,45,24.5,98,21,200,128.25,513
181,126.0,1344.0,704.5,2818.0,2,17,12.0,48,21,99,74.75,299
182,36.0,7506.0,1930.75,7723.0,0,42,11.75,47,9,200,61.25,245
183,42.0,7296.0,3603.0,14412.0,0,43,22.25,89,9,200,110.5,442
184,183.0,11796.0,4173.75,16695.0,3,47,23.0,92,27,200,115.0,460
185,222.0,9090.0,3976.5,15906.0,4,47,24.5,98,33,200,119.5,478
186,239.0,7974.0,3792.5,15170.0,7,47,28.0,112,45,200,138.75,555
187,321.0,9996.0,3620.25,14481.0,6,46,24.5,98,45,200,127.0,508
188,171.0,10212.0,4079.25,16317.0,3,45,24.5,98,27,200,121.0,484
189,494.0,8784.0,3479.5,13918.0,12,44,26.5,106,75,200,140.5,562
190,126.0,5694.0,2814.5,11258.0,2,40,24.0,96,21,200,127.0,508
191,41.0,3228.0,877.75,3511.0,1,36,10.25,41,9,200,61.25,245
192,374.0,7944.0,3963.5,15854.0,8,45,31.5,126,51,200,162.75,651
193,81.0,10578.0,4207.5,16830.0,1,46,23.0,92,15,200,113.5,454
194,92.0,966.0,506.5,2026.0,2,15,8.5,34,15,87,53.75,215
195,87.0,9036.0,3402.75,13611.0,1,44,21.75,87,15,200,109.0,436
196,156.0,10560.0,3798.75,15195.0,2,46,24.25,97,21,200,124.0,496
197,81.0,6600.0,3303.5,13214.0,1,43,21.75,87,15,200,109.0,436
198,36.0,8028.0,2300.75,9203.0,0,43,17.25,69,9,200,92.75,371
199,327.0,10434.0,3999.0,15996.0,5,48,25.5,102,38,200,125.25,501
200,248.0,9702.0,2870.75,11483.0,6,48,20.5,82,39,200,104.5,418
201,68.0,9090.0,2527.75,10111.0,2,45,15.0,60,15,200,76.0,304
202,36.0,8958.0,2308.0,9232.0,0,45,12.75,51,9,200,62.75,251
203,102.0,7752.0,3884.25,15537.0,2,43,22.5,90,21,200,111.75,447
204,234.0,5622.0,2950.5,11802.0,4,40,23.25,93,33,200,125.5,502
205,87.0,9006.0,4469.0,17876.0,1,47,25.0,100,15,200,118.0,472
206,168.0,7422.0,3274.5,13098.0,4,43,29.5,118,33,200,158.25,633
207,47.0,9102.0,2324.75,9299.0,1,45,12.0,48,9,200,59.75,239
208,36.0,9966.0,3494.25,13977.0,0,45,20.75,83,9,200,109.0,436
209,36.0,6942.0,1938.5,7754.0,0,37,13.25,53,9,200,79.25,317
210,41.0,8424.0,2381.0,9524.0,1,44,15.0,60,9,200,79.0,316
211,36.0,6534.0,2941.25,11765.0,0,42,20.5,82,9,200,104.5,418
212,36.0,7836.0,2004.25,8017.0,0,46,12.25,49,9,200,58.25,233
213,92.0,8922.0,3045.5,12182.0,2,44,20.5,82,15,200,109.0,436
214,86.0,6012.0,1686.75,6747.0,2,41,14.5,58,15,200,77.75,311
215,423.0,10800.0,3205.25,12821.0,11,49,21.75,87,75,200,110.5,442
216,267.0,7272.0,2628.0,10512.0,5,40,22.5,90,39,200,128.5,514
217,36.0,9498.0,3519.0,14076.0,0,43,22.25,89,9,200,119.5,478
218,165.0,8796.0,2328.0,9312.0,3,44,13.5,54,27,200,71.75,287
219,182.0,10620.0,2875.75,11503.0,4,46,15.25,61,27,200,76.0,304
220,180.0,10440.0,3772.25,15089.0,4,48,23.0,92,33,200,116.5,466
221,63.0,8520.0,2423.5,9694.0,1,45,17.25,69,15,200,89.75,359
222,81.0,9402.0,3936.75,15747.0,1,45,23.5,94,15,200,118.0,472
223,125.0,6204.0,1766.25,7065.0,3,42,15.75,63,21,200,83.75,335
224,36.0,9318.0,2414.75,9659.0,0,45,13.0,52,9,200,65.75,263
225,263.0,8526.0,2561.0,10244.0,7,44,19.25,77,45,200,103.0,412
226,63.0,8796.0,3188.25,12753.0,1,45,24.5,98,15,200,127.0,508
227,36.0,8292.0,2500.25,10001.0,0,45,18.5,74,9,200,95.5,382
228,141.0,10392.0,2751.5,11006.0,3,46,15.0,60,27,200,76.25,305
229,41.0,7050.0,1813.0,7252.0,1,44,12.0,48,9,200,59.75,239
230,36.0,10932.0,3957.75,15831.0,0,48,22.75,91,9,200,109.0,436
231,84.0,7572.0,3253.5,13014.0,2,42,21.5,86,21,200,110.5,442
232,41.0,7170.0,2780.5,11122.0,1,41,21.25,85,9,200,110.5,442
233,36.0,7818.0,2032.0,8128.0,0,44,12.75,51,9,200,62.75,251
234,141.0,7788.0,3176.75,12707.0,3,44,24.75,99,27,200,131.5,526
235,278.0,8652.0,3381.5,13526.0,6,43,23.0,92,39,200,121.0,484
236,93.0,7164.0,3563.75,14255.0,1,44,23.25,93,15,200,113.5,454
237,171.0,7782.0,2886.0,11544.0,3,42,23.75,95,27,200,128.5,514
238,90.0,8040.0,3892.5,15570.0,2,44,28.25,113,21,200,149.25,597
239,108.0,7164.0,2137.5,8550.0,2,44,18.0,72,21,200,95.5,382
240,96.0,8496.0,3349.5,13398.0,2,45,23.75,95,21,200,122.5,490
241,42.0,6378.0,2886.5,11546.0,0,39,19.75,79,9,200,106.0,424
242,87.0,7236.0,1939.25,7757.0,1,44,13.25,53,15,200,68.5,274
243,63.0,8586.0,3119.25,12477.0,1,45,24.0,96,15,200,124.0,496
244,140.0,7776.0,2061.0,8244.0,4,43,13.75,55,27,200,70.25,281
245,90.0,11322.0,5116.5,20466.0,2,49,29.75,119,21,200,146.25,585
246,36.0,8238.0,2960.25,11841.0,0,44,22.0,88,9,200,115.0,460
247,108.0,8778.0,4202.25,16809.0,2,45,22.75,91,21,200,112.0,448
248,69.0,2532.0,702.25,2809.0,1,33,10.0,40,15,200,64.25,257
249,41.0,9372.0,2419.25,9677.0,1,44,12.25,49,9,200,62.75,251
250,36.0,6324.0,2724.75,10899.0,0,41,21.25,85,9,200,109.0,436
251,677.0,12186.0,4700.75,18803.0,17,49,30.25,121,104,200,152.25,609
252,135.0,10164.0,2721.5,10886.0,3,47,15.25,61,27,200,76.0,304
253,294.0,9774.0,4696.5,18786.0,8,46,31.75,127,57,200,164.25,657
254,36.0,3888.0,1022.0,4088.0,0,38,10.5,42,9,200,61.25,245
255,47.0,8946.0,4047.25,16189.0,1,46,22.5,90,9,200,106.0,424
256,36.0,7470.0,1960.25,7841.0,0,42,12.75,51,9,200,68.75,275
257,126.0,8472.0,3704.0,14816.0,4,46,23.25,93,27,200,115.0,460
258,215.0,10044.0,4340.0,17360.0,5,46,29.0,116,33,200,144.75,579
259,36.0,7722.0,2123.0,8492.0,0,42,14.5,58,9,200,79.25,317
260,41.0,8424.0,2197.0,8788.0,1,45,13.0,52,9,200,62.75,251
261,41.0,7938.0,2206.75,8827.0,1,45,15.0,60,9,200,76.0,304
262,405.0,7326.0,3341.25,13365.0,9,43,31.0,124,63,200,165.75,663
263,36.0,7884.0,2013.5,8054.0,0,45,12.0,48,9,200,58.25,233
264,144.0,8550.0,3122.25,12489.0,2,46,23.5,94,21,200,121.0,484
265,210.0,8838.0,2375.75,9503.0,4,43,14.5,58,33,200,77.75,311
266,255.0,8034.0,3681.0,14724.0,5,47,25.0,100,39,200,125.5,502
267,36.0,7578.0,3096.0,12384.0,0,42,21.0,84,9,200,110.5,442
268,53.0,8760.0,2320.75,9283.0,1,46,14.75,59,9,200,73.25,293
269,75.0,6462.0,2591.0,10364.0,1,42,21.25,85,15,200,112.0,448
270,198.0,6846.0,2981.25,11925.0,4,42,23.25,93,33,200,121.0,484
271,36.0,6372.0,3061.5,12246.0,0,41,26.25,105,9,200,146.25,585
272,36.0,7842.0,3506.0,14024.0,0,44,26.25,105,9,200,139.0,556
273,81.0,9132.0,3231.0,12924.0,1,48,23.25,93,15,200,119.5,478
274,258.0,8370.0,3234.0,12936.0,4,44,25.0,100,32,200,131.25,525
275,36.0,7170.0,3185.25,12741.0,0,44,22.0,88,9,200,109.0,436
276,41.0,7248.0,2151.5,8606.0,1,43,16.25,65,9,200,88.0,352
277,41.0,7986.0,2079.75,8319.0,1,43,12.5,50,9,200,62.75,251
278,213.0,7716.0,3953.25,15813.0,3,43,24.0,96,27,200,121.0,484
279,192.0,8352.0,3354.0,13416.0,4,45,24.25,97,33,200,125.5,502
280,65.0,7908.0,2160.75,8643.0,1,45,15.5,62,9,200,77.75,311
281,75.0,8484.0,2919.0,11676.0,1,43,20.75,83,15,200,110.5,442
282,63.0,8382.0,3093.0,12372.0,1,45,21.25,85,15,200,107.5,430
283,41.0,7014.0,3172.75,12691.0,1,42,21.0,84,9,200,106.0,424
284,162.0,10344.0,2757.5,11030.0,2,47,14.75,59,21,200,73.25,293
285,75.0,8754.0,2249.0,8996.0,1,46,12.5,50,15,200,61.25,245
286,53.0,7674.0,3133.75,12535.0,1,45,24.5,98,9,200,127.0,508
287,41.0,596.0,307.75,1231.0,1,10,5.75,23,9,63,40.5,162
288,68.0,5958.0,1603.75,6415.0,2,42,13.25,53,15,200,70.25,281
289,36.0,8970.0,3624.0,14496.0,0,46,21.75,87,9,200,107.5,430
290,81.0,7830.0,2209.25,8837.0,1,43,15.5,62,15,200,83.5,334
291,87.0,7902.0,3592.5,14370.0,1,43,25.0,100,15,200,131.25,525
292,224.0,8076.0,2608.0,10432.0,6,43,19.75,79,39,200,107.5,430
293,36.0,3252.0,1008.0,4032.0,0,35,11.25,45,9,200,71.5,286
294,92.0,11130.0,2883.75,11535.0,2,49,14.5,58,15,200,65.75,263
295,101.0,9438.0,2661.25,10645.0,3,45,16.75,67,21,200,85.0,340
296,153.0,9366.0,3724.5,14898.0,3,46,25.5,102,27,200,131.5,526
297,114.0,8358.0,2271.5,9086.0,2,44,14.5,58,21,200,76.25,305
298,108.0,9066.0,3505.5,14022.0,2,46,22.5,90,21,200,113.5,454
299,68.0,8070.0,4209.5,16838.0,2,45,30.0,120,15,200,153.75,615
300,75.0,10746.0,3342.0,13368.0,1,43,19.75,79,15,200,107.25,429
301,69.0,11694.0,4134.5,16538.0,1,48,23.75,95,15,200,118.0,472
302,53.0,10350.0,2652.0,10608.0,1,48,13.5,54,9,200,61.25,245
303,228.0,9222.0,3651.0,14604.0,4,46,24.75,99,33,200,128.5,514
304,93.0,5904.0,2412.75,9651.0,1,42,21.5,86,15,200,118.0,472
305,68.0,7206.0,3215.0,12860.0,2,42,21.25,85,15,200,109.0,436
