,reward,numerosity,fitness
136,36.80000000000001,92,167.67000000000002
137,3790.900000000003,3229,1251491.2800000003
138,84.80000000000001,84,2673.8399999999997
139,24.0,24,360.17999999999995
140,28.3,37,227.16000000000003
141,664.200000000002,810,1205.280000000005
142,894.9000000000024,785,12170.640000000045
143,230.10000000000022,177,368.1600000000003
144,179.99999999999986,310,2699.999999999999
145,854.000000000002,700,924.0000000000022
146,187.5,375,284.9999999999998
147,337.4999999999992,375,2625.0
148,3690.099999999997,3993,1292174.52
149,142.10000000000002,113,6383.819999999998
150,412.99999999999994,354,8722.560000000005
151,45.5,39,85.79999999999998
152,440.0999999999988,489,1467.0
153,247.1999999999995,664,3224.519999999995
154,352.7999999999998,360,1939.6800000000028
155,949.5000000000017,831,34271.64000000006
156,1989.6000000000006,1900,352463.1
157,626.6999999999998,547,31463.700000000004
158,900.8999999999978,1001,17979.389999999952
159,178.19999999999948,486,524.880000000001
160,13.8,18,90.0
161,54.0,60,430.56
162,13.5,15,171.6
163,514.5000000000007,541,17013.600000000006
164,1704.3999999999992,1684,599049.2400000002
165,659.8000000000018,862,1703.6399999999942
166,655.0,786,11094.390000000001
167,130.5,145,634.23
168,52.89999999999998,69,231.84000000000012
169,39.60000000000001,44,381.1499999999999
170,2246.0999999999995,2453,267307.25999999995
171,1161.799999999999,954,125838.65999999995
172,195.99999999999991,460,3926.400000000003
173,1625.2999999999965,1641,73590.9599999999
174,2370.3999999999987,2212,360674.61
175,184.80000000000013,168,443.52000000000004
176,54.0,108,181.44
177,561.7000000000014,685,1676.880000000001
178,16.1,21,29.4
179,37.20000000000001,36,93.59999999999998
180,-1.800000000000003,54,25.920000000000005
181,694.2999999999992,655,2027.880000000002
182,606.0999999999984,553,10864.799999999974
183,137.19999999999996,196,727.6500000000007
184,848.3,731,111955.05000000005
185,161.69999999999976,231,221.7599999999998
186,23.4,18,56.16
187,3660.799999999995,3680,478731.77999999974
188,3083.700000000001,2605,662786.4000000004
189,23.4,18,43.2
190,126.90000000000009,141,253.80000000000018
191,151.79999999999993,138,2715.8399999999992
192,939.5999999999973,1044,10492.19999999999
193,255.0,270,12993.300000000005
194,170.99999999999997,150,1790.1000000000006
195,2208.8999999999983,2129,381082.4100000007
196,597.1000000000001,529,44420.880000000005
197,73.5,75,118.80000000000001
198,3.5,3,10.92
199,81.59999999999998,68,314.16
200,1382.5000000000007,1373,350491.2600000002
201,69.7,57,313.02
202,542.4000000000005,452,7830.900000000014
203,1059.9999999999982,860,22358.699999999924
204,2122.4000000000024,2196,191044.94999999978
205,1552.3000000000013,1411,198262.44000000015
206,52.79999999999999,48,125.27999999999999
207,167.99999999999991,240,2260.799999999999
208,34.2,30,299.7
209,8.999999999999998,30,80.1
210,36.6,30,487.08000000000004
211,756.0,840,5251.680000000022
212,76.0,464,2016.1199999999988
213,270.1999999999998,262,5207.4
214,21.0,18,205.92
215,37.2,36,902.3399999999999
216,3872.099999999991,3569,645943.9800000011
217,1943.700000000002,1621,338846.3400000003
218,2013.3000000000038,2713,203200.5
219,1514.6000000000008,1268,155999.6399999999
220,857.8999999999979,1083,26957.24999999997
221,440.5000000000003,349,9910.829999999998
222,3621.2999999999984,4131,1246171.5600000003
223,1272.5999999999995,1010,93614.88000000006
224,167.69999999999996,137,12022.619999999999
225,34.3,35,146.79000000000002
226,114.0,228,328.3199999999997
227,3995.399999999996,4430,1247267.4000000006
228,1720.6999999999991,1375,185810.9999999999
229,48.0,48,349.9200000000001
230,189.0999999999998,183,263.5199999999997
231,67.10000000000004,549,728.3400000000009
232,268.40000000000015,244,7109.5500000000075
233,200.1000000000001,261,6616.349999999997
234,101.20000000000003,92,223.56
235,4495.499999999996,4507,1462829.4900000002
236,739.6999999999999,617,59044.169999999984
237,35.199999999999996,44,192.72000000000003
238,1250.8000000000036,924,15218.400000000034
239,2988.9000000000037,2905,825663.7199999992
240,630.1000000000003,577,24169.77
241,25.300000000000004,33,19.800000000000004
242,232.3000000000004,303,763.5599999999982
243,26.4,24,226.8
244,2043.6000000000015,1880,486759.32999999984
245,502.8999999999999,409,20411.909999999996
246,118.79999999999987,264,1211.7599999999995
247,145.8,162,181.4400000000002
248,13.5,15,37.8
249,63.0,210,362.87999999999965
250,126.0,108,237.59999999999985
251,255.59999999999985,324,14916.960000000006
252,18.6,18,71.28
253,122.5,147,35.27999999999998
254,17.5,15,39.0
255,410.3,811,1874.5799999999983
256,421.1999999999995,468,5569.199999999996
257,272.6999999999995,303,436.3199999999994
258,3635.4999999999995,3207,933950.7000000017
259,1356.6000000000004,1122,124243.07999999999
260,164.0,164,319.80000000000024
261,172.80000000000007,144,1520.64
262,187.1999999999999,144,1710.7199999999996
263,219.59999999999988,180,2414.8799999999987
264,45.50000000000001,63,475.8000000000001
265,60.699999999999996,161,628.9200000000002
266,18.0,36,21.600000000000005
267,1067.6000000000001,1302,186435.44999999992
268,618.3000000000003,519,85991.79000000007
269,1348.4999999999964,1305,42408.15000000009
270,899.0000000000022,870,7064.400000000008
271,31.800000000000004,30,401.58
272,372.59999999999906,414,463.6800000000013
273,369.19999999999953,284,1218.3600000000004
274,23.599999999999994,72,437.96999999999997
275,26.0,52,202.79999999999995
276,29.9,133,140.69999999999993
277,674.7000000000002,563,48860.94000000002
278,149.2,322,939.1199999999992
279,135.69999999999993,177,637.1999999999998
280,112.10000000000011,177,84.95999999999994
281,144.0,192,6256.080000000001
282,2405.699999999993,2773,289195.5299999996
283,1463.8999999999983,1219,130484.34000000003
