,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
4856,2,9,200,1,48,0,9.600000000000032,102.00000000000033,12630.0,1,1.8,,49
4857,3,9,200,0,39,26,4.20000000000001,42.0000000000001,6786.0,0,1.0,,39
5322,0,10,200,2,50,2,10.800000000000027,120.00000000000026,12942.0,0,1.0,,52
5024,1,10,51,0,7,2,0.0,0.0,345.0,3,-1.1,,7
5323,2,10,200,4,46,0,8.400000000000027,108.00000000000028,11640.0,0,1.8,,50
4917,3,10,15,1,1,2,0.0,5.000000000000001,98.0,0,-0.1999999999999999,,2
5942,0,11,200,0,35,30,1.79999999999999,17.9999999999999,2688.0,4,0.9,,35
5405,1,11,21,0,2,1,0.0,0.0,126.0,2,-1.1,,2
5943,2,11,200,2,42,1,6.000000000000038,72.00000000000038,10722.0,3,0.9,,44
5944,3,11,200,0,43,29,6.600000000000043,66.00000000000043,10656.0,0,1.0,,43
6255,0,12,87,0,13,7,0.0,0.0,789.0,2,-1.1,,13
6170,1,12,57,0,8,1,0.0,0.0,366.0,2,-1.1,,8
6369,2,12,200,0,53,0,12.600000000000046,126.00000000000044,16974.0,1,1.8,,53
6244,3,12,81,0,12,3,0.0,0.0,666.0,3,-1.1,,12
6815,0,13,200,4,46,7,8.400000000000025,108.00000000000026,12540.0,0,1.8,,50
6491,1,13,38,0,5,1,0.0,0.0,381.0,3,-1.1,,5
6816,2,13,200,4,44,2,7.200000000000023,96.00000000000024,9564.0,0,1.8,,48
6405,3,13,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,,1
6917,0,14,33,5,4,0,0.0,29.000000000000004,653.0,0,-1.0,,9
6905,1,14,27,0,3,0,0.0,0.0,159.0,2,-1.1,,3
6851,2,14,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,,1
6918,3,14,33,0,4,1,0.0,0.0,216.0,4,-1.1,,4
7543,0,15,200,1,34,34,1.1999999999999915,17.99999999999992,3042.0,0,1.8,,35
7024,1,15,27,0,3,0,0.0,0.0,141.0,2,-1.1,,3
7544,2,15,200,2,51,0,11.400000000000036,126.00000000000034,13260.0,1,1.8,,53
7545,3,15,200,0,43,25,6.600000000000024,66.00000000000023,7920.0,0,1.0,,43
8170,0,16,200,4,49,26,10.200000000000015,126.00000000000016,11376.0,0,1.8,,53
7651,1,16,27,0,3,1,0.0,0.0,159.0,1,-1.1,,3
8171,2,16,200,4,44,8,7.200000000000022,96.00000000000024,9876.0,1,1.8,,48
8172,3,16,200,0,32,20,2.9448665728182284e-14,2.944866572818228e-13,8724.0,4,0.9,,32
8757,0,17,200,3,46,20,8.400000000000018,102.00000000000016,8790.0,0,1.0,,49
8230,1,17,15,0,1,0,0.0,0.0,75.0,2,-1.1,,1
8758,2,17,200,4,43,4,6.600000000000028,90.00000000000028,9852.0,0,1.8,,47
8700,3,17,171,0,27,16,0.0,0.0,5283.0,4,-1.1,,27
8959,0,18,51,0,7,7,0.0,0.0,441.0,3,-1.1,,7
8978,1,18,57,0,8,1,0.0,0.0,366.0,2,-1.1,,8
9265,2,18,200,0,50,0,10.800000000000043,108.00000000000044,15030.0,0,1.0,,50
9266,3,18,200,0,39,6,4.199999999999991,41.99999999999991,3528.0,1,1.8,,39
9879,0,19,200,3,49,29,10.200000000000012,120.0000000000001,10098.0,3,1.9,,52
9324,1,19,15,1,1,1,0.0,5.000000000000001,98.0,0,-0.1999999999999999,,2
