agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
1,27,200,3,34,31,1.199999999999995,29.999999999999947,3906.0,0,1.8,46,37
2,27,69,1,10,1,0.0,5.0,515.0,0,-0.1999999999999999,26,11
3,27,200,0,36,27,2.3999999999999893,23.99999999999989,4410.0,0,1.0,41,36
0,28,200,1,48,0,9.600000000000028,102.00000000000028,10110.0,0,1.8,16,49
1,28,39,0,5,0,0.0,0.0,273.0,0,-1.0,16,5
2,28,51,1,7,2,0.0,5.000000000000006,398.0,0,-1.0,21,8
3,28,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,7,1
0,29,200,0,49,1,10.200000000000038,102.00000000000038,12498.0,0,1.0,17,49
1,29,200,1,47,1,9.00000000000002,96.00000000000018,10284.0,0,1.0,16,48
2,29,39,1,5,0,0.0,5.000000000000006,260.0,0,-0.1999999999999999,13,6
3,29,39,0,5,1,0.0,0.0,219.0,2,-1.1,15,5
0,30,200,0,41,2,5.400000000000033,54.00000000000033,8712.0,0,1.0,29,41
1,30,200,0,38,44,3.5999999999999868,35.999999999999865,6444.0,4,1.1,22,38
2,30,33,1,4,1,0.0,5.000000000000002,257.0,0,-1.0,14,5
3,30,200,0,47,40,9.00000000000003,90.0000000000003,10152.0,0,1.0,31,47
0,31,200,0,45,27,7.800000000000034,78.00000000000034,9528.0,0,1.0,21,45
1,31,200,1,41,2,5.400000000000041,60.000000000000405,9066.0,0,1.0,23,42
2,31,200,0,41,29,5.400000000000032,54.00000000000032,8022.0,2,1.1,23,41
3,31,21,1,2,3,0.0,5.0,173.0,0,-1.0,11,3
0,32,200,0,39,2,4.2000000000000215,42.00000000000021,7272.0,0,1.0,23,39
1,32,200,1,33,0,0.5999999999999913,11.999999999999911,3570.0,0,1.0,29,34
2,32,200,1,33,5,0.5999999999999901,11.9999999999999,3000.0,0,1.8,30,34
3,32,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,33,200,1,44,22,7.2000000000000295,78.00000000000028,9252.0,3,1.9,28,45
1,33,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,5,1
2,33,200,0,46,17,8.400000000000016,84.00000000000016,7680.0,0,1.0,28,46
3,33,128,0,20,2,0.0,0.0,1908.0,3,-1.1,28,20
0,34,200,0,42,0,6.000000000000022,60.00000000000022,8184.0,0,1.0,20,42
