agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1,majoritarian,49,15,1,1,0,0.0,5.000000000000002,92.0,0,-0.1999999999999999,8,2
2,baseline,49,200,0,50,0,10.800000000000024,108.00000000000024,8772.0,0,1.0,15,50
3,baseline,49,15,0,1,0,0.0,0.0,63.0,0,-1.0,7,1
0,majoritarian,50,21,0,2,0,0.0,0.0,84.0,1,-1.1,12,2
1,majoritarian,50,92,0,14,2,0.0,0.0,1014.0,3,-1.1,29,14
2,baseline,50,200,19,37,1,3.0,144.0,13332.0,0,1.0,34,56
3,baseline,50,32,0,4,1,0.0,0.0,342.0,0,-1.0,13,4
0,majoritarian,51,200,0,44,22,7.200000000000032,72.00000000000031,9246.0,0,1.0,24,44
1,majoritarian,51,21,0,2,1,0.0,0.0,138.0,3,-1.1,12,2
2,baseline,51,33,0,4,3,0.0,0.0,252.0,0,-1.0,14,4
3,baseline,51,200,2,41,24,5.400000000000001,66.00000000000001,6978.0,0,2.0,24,43
0,majoritarian,52,200,0,39,18,4.200000000000007,42.00000000000007,5766.0,0,1.0,28,39
1,majoritarian,52,200,1,32,12,0.0,5.9999999999998685,4518.0,3,-0.1,37,33
2,baseline,52,75,0,11,7,0.0,0.0,531.0,3,-1.2,20,11
3,baseline,52,200,1,39,21,4.1999999999999975,47.99999999999997,7140.0,0,1.0,35,40
0,majoritarian,53,21,0,2,1,0.0,0.0,144.0,1,-1.1,16,2
1,majoritarian,53,86,0,13,3,0.0,0.0,945.0,3,-1.1,28,13
2,baseline,53,200,20,39,0,4.200000000000013,162.0000000000001,18000.0,1,2.0,27,59
3,baseline,53,93,2,14,4,0.0,11.0,833.0,0,0.0,33,16
0,majoritarian,54,56,0,8,5,0.0,0.0,492.0,0,-1.0,20,8
1,majoritarian,54,200,0,33,3,0.5999999999999989,5.9999999999999885,2334.0,1,1.8,34,33
2,baseline,54,62,1,9,1,0.0,5.999999999999977,765.0,0,-1.0,21,10
