episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
74,15,0,0.0,6291.5999999999985,31739,1280938.2300000007
75,39,0,0.0,8839.0,46512,672894.7800000005
76,18,0,0.0,3113.5999999999985,16767,212010.5999999999
77,9,0,0.0,1866.5,20068,300093.1499999998
78,26,0,0.0,10148.600000000002,46169,2345510.19
79,7,0,0.0,5513.999999999998,28581,1024019.4599999995
80,11,0,0.0,6214.400000000009,27548,1920814.8600000003
81,15,0,0.0,523.8,2894,5929.050000000003
82,12,0,0.0,4301.5,21413,1017053.0100000016
83,30,0,0.0,6374.099999999999,32869,574664.58
84,17,0,0.0,592.0,4006,5991.150000000003
85,22,0,0.0,7607.100000000004,39849,2202190.2299999986
86,32,2,6.25,10088.4,47616,2915584.9799999995
87,27,0,0.0,5881.900000000005,32975,550439.67
88,17,0,0.0,8827.600000000002,43108,1473252.4200000016
89,12,0,0.0,5587.099999999991,24975,1676669.8200000005
90,10,0,0.0,2478.3,13594,276494.03999999946
91,30,0,0.0,7709.400000000003,43508,1851215.2199999993
92,14,0,0.0,272.70000000000005,1710,612.9
93,26,1,3.8461538461538463,4676.600000000001,24955,907366.8299999998
94,17,0,0.0,726.2,4057,6492.390000000001
95,22,0,0.0,5711.199999999997,33269,1298435.5500000005
96,21,0,0.0,494.2,3802,13351.919999999993
97,22,0,0.0,4268.999999999999,27715,128517.24000000008
98,13,0,0.0,1935.1999999999998,9100,201699.62999999995
99,19,1,5.263157894736842,2045.6000000000001,15181,79061.31000000001
100,12,0,0.0,8242.900000000007,44205,3642194.670000005
101,10,0,0.0,142.70000000000002,1106,1229.7
102,10,0,0.0,6277.9,32186,5659346.37
103,21,0,0.0,2841.7999999999993,14390,173386.46999999997
104,6,0,0.0,56.8,541,24.000000000000004
105,14,0,0.0,5684.0,29191,397569.86999999976
106,13,1,7.6923076923076925,376.7,3012,14284.11
107,29,0,0.0,5286.199999999999,30190,155650.34999999998
108,20,0,0.0,9515.399999999998,40265,5284611.240000001
109,29,0,0.0,10520.699999999999,56105,1290006.299999999
110,7,0,0.0,1946.999999999999,11366,296662.0499999996
111,16,0,0.0,5464.400000000001,29378,5008140.09
