episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
39,7,1,14.285714285714285,51.599999999999994,628,-23.69999999999998
40,33,2,6.0606060606060606,2299.6000000000004,9676,219937.02000000005
41,20,0,0.0,7372.199999999993,36340,784732.7100000004
42,2,0,0.0,24.5,542,48.3
43,10,0,0.0,756.3000000000001,5682,12411.599999999993
44,22,0,0.0,11743.899999999992,52454,3909652.6799999974
45,17,0,0.0,605.3000000000001,5677,26124.39
46,15,1,6.666666666666667,187.50000000000003,1396,2615.3700000000003
47,35,1,2.857142857142857,2112.5,15072,103207.31999999998
48,31,3,9.67741935483871,7973.2000000000035,44280,1001736.0000000002
49,16,2,12.5,7372.0,37816,4086159.8399999966
50,12,1,8.333333333333332,1474.2999999999997,8133,4387.7999999999965
51,26,0,0.0,2240.8999999999996,15363,198705.35999999996
52,31,0,0.0,7044.599999999997,30939,2003415.3000000017
53,20,2,10.0,6207.000000000001,29678,1074508.4099999995
54,5,0,0.0,58.0,472,39.599999999999994
55,10,1,10.0,345.7000000000001,2166,2964.030000000001
56,6,0,0.0,233.1,1304,2883.7199999999993
57,13,0,0.0,643.8000000000001,3732,10017.390000000001
58,8,0,0.0,252.50000000000006,1484,1372.2000000000003
59,17,0,0.0,484.80000000000007,3516,8576.579999999998
60,17,2,11.76470588235294,311.4999999999999,2348,1595.4000000000005
61,6,1,16.666666666666664,101.1,876,632.5499999999998
62,16,2,12.5,8188.8,38842,4150183.440000003
63,13,0,0.0,3145.599999999997,17231,169040.67000000004
64,26,0,0.0,5370.000000000001,27771,788968.47
65,24,1,4.166666666666666,7687.299999999992,38932,2629847.610000004
66,14,1,7.142857142857142,261.5,2390,4544.55
67,13,0,0.0,9298.099999999995,46478,3814831.2900000033
68,5,1,20.0,21.900000000000002,317,24.9
69,8,0,0.0,82.0,830,268.2
70,22,1,4.545454545454546,7624.7,41646,552295.8899999999
71,30,2,6.666666666666667,6631.299999999999,32077,2012111.88
72,20,2,10.0,3561.9000000000005,19370,110015.55000000003
73,12,1,8.333333333333332,278.50000000000006,2292,2260.6800000000003
74,16,0,0.0,4168.999999999998,25579,92925.15000000002
75,37,0,0.0,2830.7,19219,61000.769999999946
76,11,1,9.090909090909092,36.800000000000004,506,-56.57999999999999
77,28,2,7.142857142857142,10870.799999999996,46731,4783003.32
78,22,0,0.0,2353.0,18887,165446.6100000002
79,25,0,0.0,3010.899999999999,16131,211461.42000000016
80,31,0,0.0,7270.9,35936,645865.83
81,9,1,11.11111111111111,2252.999999999998,12583,95736.0899999997
82,6,0,0.0,130.9,1076,977.7299999999998
83,21,0,0.0,4972.100000000002,35943,2447685.9600000004
84,22,2,9.090909090909092,1949.6000000000006,11502,24373.679999999986
85,32,0,0.0,6927.100000000001,32267,613491.2100000004
86,24,0,0.0,11845.0,54660,1215394.2600000002
87,31,0,0.0,5666.8,27740,668142.7499999998
88,24,0,0.0,1061.8000000000002,7708,25624.589999999986
89,23,0,0.0,6326.0,39425,458875.20000000007
90,13,1,7.6923076923076925,5257.100000000006,28809,436436.57999999996
91,19,0,0.0,9177.299999999997,41886,1240874.7899999989
92,18,0,0.0,9158.6,40832,3041301.7200000007
93,23,1,4.3478260869565215,8056.599999999995,41020,1832268.0599999998
94,5,1,20.0,20.400000000000002,308,-17.700000000000003
95,22,3,13.636363636363635,9003.6,41417,3286958.4299999997
96,21,1,4.761904761904762,4875.299999999999,24744,1122043.47
97,14,1,7.142857142857142,1671.2,10814,6370.8300000000045
98,11,1,9.090909090909092,6417.800000000003,31602,682445.4599999994
99,20,1,5.0,9012.500000000004,38914,2821778.9400000004
100,13,0,0.0,1283.1,6956,62143.97999999999
101,7,0,0.0,1922.5,19095,64938.59999999993
102,15,1,6.666666666666667,612.4,3767,17806.410000000003
103,23,0,0.0,2384.7,12738,38017.080000000016
104,10,0,0.0,2434.3999999999987,17599,76238.72999999998
105,11,1,9.090909090909092,549.6000000000001,3695,19436.010000000002
106,13,0,0.0,5369.499999999996,29730,1750542.6599999985
107,38,1,2.631578947368421,8598.199999999999,40678,929165.6099999999
108,17,2,11.76470588235294,8003.500000000001,39963,6733009.7700000005
