agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,average,57,200,1,43,0,6.60000000000003,72.00000000000028,8142.0,0,1.5,33,44
1,average,57,75,0,11,2,0.0,0.0,471.0,3,-1.1,21,11
2,average,57,152,1,24,1,0.0,5.999999999999918,2040.0,0,-1.0,31,25
3,average,57,152,0,24,1,0.0,0.0,1374.0,1,-1.1,39,24
0,average,58,200,0,40,0,4.7999999999999945,47.99999999999994,5106.0,0,1.0,29,40
1,average,58,200,0,34,1,1.1999999999999984,11.999999999999984,1698.0,0,1.0,33,34
2,average,58,27,0,3,0,0.0,0.0,123.0,0,-1.0,15,3
3,average,58,80,0,12,0,0.0,0.0,834.0,1,-1.1,19,12
0,average,59,200,0,42,0,6.000000000000011,60.00000000000011,6552.0,0,1.0,29,42
1,average,59,200,0,35,1,1.799999999999995,17.999999999999947,2490.0,0,1.0,42,35
2,average,59,200,1,36,1,2.3999999999999875,29.999999999999876,4368.0,0,1.5,48,37
3,average,59,63,1,9,3,0.0,5.000000000000006,350.0,0,-0.5,22,10
0,average,60,200,0,41,0,5.400000000000002,54.00000000000002,5394.0,0,1.0,17,41
1,average,60,33,0,4,1,0.0,0.0,210.0,3,-1.1,16,4
2,average,60,15,0,1,0,0.0,0.0,63.0,3,-1.1,7,1
3,average,60,39,0,5,0,0.0,0.0,243.0,4,-1.1,20,5
0,average,61,200,0,40,0,4.799999999999996,47.99999999999996,5550.0,1,1.8,27,40
1,average,61,200,0,39,1,4.199999999999992,41.99999999999992,4104.0,0,1.0,35,39
2,average,61,200,0,34,0,1.199999999999986,11.99999999999986,3084.0,0,1.0,22,34
3,average,61,51,0,7,1,0.0,0.0,315.0,2,-1.1,24,7
0,average,62,200,1,43,0,6.600000000000024,72.00000000000023,7812.0,0,1.5,22,44
1,average,62,200,0,35,0,1.799999999999991,17.999999999999908,3300.0,1,1.8,20,35
2,average,62,15,1,1,0,0.0,5.000000000000002,86.0,0,-0.5,10,2
3,average,62,21,0,2,0,0.0,0.0,102.0,1,-1.1,18,2
0,average,63,200,0,44,2,7.200000000000016,72.00000000000016,6906.0,0,1.0,24,44
1,average,63,56,0,8,3,0.0,0.0,528.0,0,-1.0,16,8
2,average,63,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
3,average,63,200,1,35,2,1.7999999999999852,23.99999999999985,4722.0,0,1.0,29,36
