,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
37,10.0,1.0,0.1757679180887372,1.0784982935153584,0.1342434584755404,0.4471558589306031,5.526166097838454,72.56769055745166,0.18560864618885098,6.832764505119454,1758
38,10.0,2.0,0.3154034229828851,1.0293398533007334,0.3422982885085575,0.4180929095354525,6.070904645476774,77.80684596577017,0.1427872860635697,6.701711491442543,409
39,10.0,3.0,0.17008952080042128,1.6598209583991574,0.007898894154818325,0.7959452343338599,8.979989468141127,91.623486045287,0.3062664560294892,5.598209583991575,1899
40,11.0,0.0,0.24335173105870547,2.1480180632212744,0.03361766181635725,0.9888610135474158,11.348720521826392,114.66081284495735,0.43191169091821374,5.997491219267436,1993
41,11.0,1.0,0.2366325369738339,1.1928327645051195,0.13594994311717862,0.4157565415244598,5.577360637087602,78.14505119453925,0.27639362912400456,7.358930602957907,1758
42,11.0,2.0,0.5318627450980392,1.0465686274509804,0.3431372549019608,0.3279411764705884,6.4705882352941195,84.32352941176471,0.21764705882352942,7.159313725490196,408
43,11.0,3.0,0.17166929963138494,1.8304370721432333,0.00842548709847288,0.7983149025803055,9.013164823591364,100.62717219589257,0.33580832016850976,6.072669826224328,1899
44,12.0,0.0,0.24284997491219268,2.3677872553938784,0.03361766181635725,1.0207225288509785,11.664325137982939,126.31911690918214,0.4356246864024085,6.3712995484194686,1993
45,12.0,1.0,0.2622298065984073,1.3549488054607508,0.13879408418657566,0.41302616609783865,5.70364050056883,83.84869169510807,0.34032992036405,7.801478953356087,1758
46,12.0,2.0,0.7156862745098039,1.1102941176470589,0.34558823529411764,0.2661764705882355,6.955882352941178,91.27941176470588,0.2840686274509804,7.526960784313726,408
47,12.0,3.0,0.1885202738283307,2.0010531858873093,0.00842548709847288,0.8006845708267509,9.137967351237494,109.75882043180621,0.3543970510795155,6.4454976303317535,1899
48,13.0,0.0,0.23983943803311591,2.5980933266432515,0.03411941796287005,1.0589061716006019,12.028098344204714,138.33517310587055,0.44982438534872055,6.6457601605619665,1993
49,13.0,1.0,0.21786120591581343,1.5551763367463025,0.14391353811149032,0.4331626848691697,5.638794084186578,89.48748577929466,0.35273037542662117,8.151308304891923,1758
50,13.0,2.0,0.7769607843137255,1.2058823529411764,0.35294117647058826,0.22352941176470606,6.897058823529414,98.17647058823529,0.23259803921568628,7.875,408
51,13.0,3.0,0.18220115850447605,2.1879936808846763,0.00842548709847288,0.8128488678251711,9.221695629278567,118.96155871511321,0.360926803580832,6.718272775144813,1899
52,14.0,0.0,0.21976919217260413,2.8248871048670345,0.03562468640240843,1.0949824385348716,12.268439538384344,150.59759157049675,0.42854992473657805,6.902157551430005,1993
53,14.0,1.0,0.18088737201365188,1.7440273037542662,0.1496018202502844,0.4464732650739479,5.55005688282139,95.03754266211604,0.3431171786120592,8.518202502844142,1758
54,14.0,2.0,0.8725490196078431,1.2843137254901962,0.35784313725490197,0.17058823529411787,6.941176470588237,105.08823529411765,0.2357843137254902,8.183823529411764,408
55,14.0,3.0,0.17061611374407584,2.365982095839916,0.00842548709847288,0.8196419167983148,9.220115850447602,128.16587677725119,0.33543970510795157,6.996840442338073,1899
56,15.0,0.0,0.22880080280983442,3.0356246864024086,0.03712995484194681,1.1226292022077269,12.597591570496736,163.17410938283993,0.4086803813346713,7.27646763672855,1993
57,15.0,1.0,0.15187713310580206,1.9055745164960183,0.1621160409556314,0.46023890784982957,5.451649601820251,100.48919226393629,0.13572241183162684,8.968145620022753,1758
58,15.0,2.0,0.9779411764705882,1.3259803921568627,0.38235294117647056,0.16446078431372554,6.875000000000001,111.94852941176471,-0.5073529411764706,8.580882352941176,408
59,15.0,3.0,0.17535545023696683,2.5355450236966823,0.00842548709847288,0.8274881516587677,9.302264349657714,137.43022643496576,0.25908372827804105,7.400737230121116,1899
60,16.0,0.0,0.21990858303707467,3.2788217369222954,0.037582529202640935,1.1673438293550022,12.99288979177247,177.2524123920772,0.4243270695784662,7.753174200101574,1969
61,16.0,1.0,0.1511627906976744,2.1716826265389875,0.16073871409028728,0.5030779753761973,5.937756497948019,111.32147742818057,0.2051983584131327,9.664158686730506,1462
62,16.0,2.0,0.48031496062992124,2.0551181102362204,0.7401574803149606,0.43307086614173246,7.212598425196852,128.64566929133858,0.16220472440944883,9.149606299212598,127
63,16.0,3.0,0.17947279865395402,2.785754346606842,0.007851934941110488,0.8715086932136847,9.79192372406057,151.64666292765003,0.31598429613011775,7.936623667975322,1783
64,17.0,0.0,0.21787709497206703,3.4865413915693244,0.038598273235144746,1.1919756221432196,13.227018791264598,190.4794311833418,0.4114779075672931,8.044184865413916,1969
65,17.0,1.0,0.20930232558139536,2.2783857729138166,0.16142270861833105,0.4670998632010946,5.926812585499318,117.24418604651163,0.256703146374829,9.9671682626539,1462
66,17.0,2.0,0.6535433070866141,2.094488188976378,0.7401574803149606,0.356692913385827,7.4881889763779546,136.13385826771653,0.21574803149606298,9.559055118110237,127
67,17.0,3.0,0.1873247335950645,2.9478407178911947,0.009534492428491307,0.868760515984296,9.811553561413346,161.45821648906337,0.3317442512619181,8.188446438586652,1783
68,18.0,0.0,0.2574911122397156,3.685119349923819,0.038598273235144746,1.2111223971559164,13.656170644997458,204.1203656678517,0.42955815134586084,8.235652615540884,1969
69,18.0,1.0,0.24829001367989056,2.4199726402188784,0.16689466484268126,0.45205198358413157,6.010259917920659,123.25444596443228,0.3170998632010944,10.183310533515732,1462
70,18.0,2.0,0.6850393700787402,2.251968503937008,0.7480314960629921,0.35118110236220496,7.62204724409449,143.70866141732284,0.3062992125984252,9.929133858267717,127
71,18.0,3.0,0.17666853617498599,3.123948401570387,0.010095344924284913,0.8744251261918113,9.80426247896803,171.25238362310714,0.33869882220975883,8.379697139652272,1783
72,19.0,0.0,0.24327069578466226,3.915185373285932,0.042153377348908075,1.2491620111731838,13.951244286439811,218.0655154900965,0.4423057389537836,8.403758252920264,1969
73,19.0,1.0,0.19699042407660738,2.6292749658002736,0.17510259917920656,0.4776333789329688,5.958276333789332,129.21272229822162,0.3745554035567716,10.391928864569083,1462
74,19.0,2.0,0.6535433070866141,2.4488188976377954,0.7559055118110236,0.3692913385826774,7.614173228346459,151.2755905511811,0.3425196850393701,10.204724409448819,127
75,19.0,3.0,0.19742007851934942,3.2938867077958496,0.01065619742007852,0.876388109927089,9.948401570386986,181.173864273696,0.3476724621424565,8.524957936062815,1783
76,20.0,0.0,0.25495175215845606,4.123920771965465,0.04266124936515998,1.2744032503809035,14.273743016759772,232.32706957846622,0.41955307262569835,8.547486033519553,1969
77,20.0,1.0,0.17236662106703146,2.79890560875513,0.18057455540355677,0.47941176470588265,5.828317373461015,135.04103967168263,0.31559507523939806,10.610123119015048,1462
78,20.0,2.0,0.6929133858267716,2.559055118110236,0.7716535433070866,0.33543307086614205,7.511811023622049,158.78740157480314,0.25826771653543307,10.417322834645669,127
79,20.0,3.0,0.1962983735277622,3.471116096466629,0.012338754907459339,0.8827257431295568,10.00504767246214,191.16545148625912,0.3491306786315199,8.697139652271453,1783
80,21.0,0.0,0.27577450482478416,4.338242762823769,0.04266124936515998,1.3035043169121376,14.689182326053828,247.01015744032503,0.4378872524123921,8.812087353986795,1969
81,21.0,1.0,0.16347469220246238,2.9575923392612857,0.18399452804377564,0.4919288645690837,5.848837209302328,140.88987688098496,0.13098495212038302,10.906292749658002,1462
82,21.0,2.0,0.753968253968254,2.634920634920635,0.7777777777777778,0.3206349206349208,7.3571428571428585,165.6904761904762,-0.1746031746031746,10.825396825396826,126
83,21.0,3.0,0.1850813236118901,3.6421761076836794,0.012899607403252944,0.8910824453168814,9.9910263600673,201.15311273135165,0.26971396522714525,8.99663488502524,1783
84,22.0,0.0,0.2470648289943849,4.587034201123022,0.042879019908116385,1.3522715671260843,15.00510464522715,262.7131189382338,0.43833588565594694,9.156202143950996,1959
85,22.0,1.0,0.18527708850289495,3.249793217535153,0.19520264681555005,0.5499586435070308,6.611248966087678,154.40612076095948,0.22886683209263853,11.31100082712986,1209
86,22.0,2.0,0.5394736842105263,3.0789473684210527,0.8947368421052632,0.44736842105263175,7.710526315789477,182.76315789473685,0.16578947368421051,11.605263157894736,76
87,22.0,3.0,0.19095776323616895,3.8816180844735277,0.013682331945270671,0.9290898274836404,10.436644854253418,217.30993456276028,0.3056513979773944,9.303390838786436,1681
88,23.0,0.0,0.2720775906074528,4.787646758550281,0.04492087799897907,1.3726391015824393,15.358856559469109,278.06584992343033,0.42521694742215416,9.391015824400204,1959
89,23.0,1.0,0.20512820512820512,3.3755169561621177,0.19768403639371382,0.5253928866832096,6.484698097601326,160.8908188585608,0.25930521091811415,11.501240694789082,1209
90,23.0,2.0,0.618421052631579,3.1973684210526314,0.9210526315789473,0.41842105263157925,7.894736842105266,190.6578947368421,0.29473684210526313,11.881578947368421,76
91,23.0,3.0,0.18154761904761904,4.048214285714286,0.01488095238095238,0.9289285714285711,10.378571428571425,227.75357142857143,0.313452380952381,9.480357142857143,1680
92,24.0,0.0,0.27105666156202146,5.0117406840224605,0.046452271567126086,1.4070954568657472,15.697294538029599,293.7417049515059,0.44027565084226644,9.577335375191424,1959
93,24.0,1.0,0.23821339950372208,3.52191894127378,0.20430107526881722,0.513234077750207,6.561621174524403,167.44747725392887,0.3217535153019024,11.628618693134822,1209
94,24.0,2.0,0.5526315789473685,3.3947368421052633,0.9210526315789473,0.43684210526315814,7.684210526315792,198.3421052631579,0.3078947368421052,12.171052631578947,76
95,24.0,3.0,0.19345238095238096,4.207738095238096,0.01607142857142857,0.9246428571428568,10.407142857142853,238.15,0.3270238095238095,9.60892857142857,1680
96,25.0,0.0,0.2669729453802961,5.226135783563042,0.04696273608984176,1.4357325165900963,15.959162838182737,309.6916794282797,0.41822358346094946,9.713629402756508,1959
97,25.0,1.0,0.17204301075268819,3.726220016542597,0.21588089330024815,0.5358147229114973,6.390405293631103,173.83788254755996,0.35550041356492973,11.766749379652605,1209
98,25.0,2.0,0.6578947368421053,3.486842105263158,0.9342105263157895,0.392105263157895,7.868421052631582,206.21052631578948,0.2986842105263158,12.355263157894736,76
