agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,8,200,3,33,14,0.5999999999999882,23.99999999999988,7404.0,0,1.8,40,36
1,8,15,0,1,0,0.0,0.0,81.0,3,-1.1,9,1
2,8,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
3,8,200,1,50,0,10.8,114.0,6720.0,0,1.8,29,51
0,9,200,0,36,13,2.399999999999992,23.99999999999992,3054.0,1,1.8,42,36
1,9,200,0,52,0,12.000000000000025,120.00000000000024,10434.0,1,1.8,38,52
2,9,200,1,36,12,2.3999999999999915,29.999999999999915,3996.0,0,1.0,43,37
3,9,86,0,13,3,0.0,0.0,1125.0,0,-1.0,27,13
0,10,15,2,1,0,0.0,11.0,146.0,4,-1.1,8,3
1,10,39,0,5,0,0.0,0.0,207.0,1,-1.1,15,5
2,10,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,5,1
3,10,200,1,42,0,6.000000000000019,66.00000000000018,7338.0,0,1.8,18,43
0,11,200,0,36,10,2.399999999999992,23.99999999999992,3066.0,2,1.1,46,36
1,11,200,0,55,0,13.800000000000026,138.00000000000026,12246.0,1,1.8,38,55
2,11,200,1,36,5,2.3999999999999937,29.999999999999936,3858.0,0,1.0,40,37
3,11,92,0,14,3,0.0,0.0,786.0,4,-1.1,25,14
0,12,93,0,14,7,0.0,0.0,732.0,2,-1.1,31,14
1,12,200,1,53,0,12.60000000000003,132.00000000000028,13440.0,0,1.8,37,54
2,12,32,1,4,2,0.0,5.9999999999999885,342.0,0,-0.1999999999999999,14,5
3,12,116,0,18,2,0.0,0.0,1728.0,4,-1.1,32,18
0,13,200,0,42,3,6.000000000000021,60.00000000000021,6156.0,0,1.0,44,42
1,13,200,1,43,0,6.600000000000013,72.00000000000013,7764.0,0,1.8,32,44
2,13,62,1,9,3,0.0,5.999999999999997,663.0,0,-1.0,26,10
3,13,50,1,7,1,0.0,5.999999999999993,429.0,0,-0.1999999999999999,18,8
0,14,27,0,3,1,0.0,0.0,171.0,2,-1.1,16,3
1,14,200,0,33,0,0.5999999999999996,5.9999999999999964,1932.0,0,1.0,21,33
2,14,38,0,5,3,0.0,0.0,261.0,4,-1.1,17,5
3,14,45,0,6,2,0.0,0.0,300.0,2,-1.1,17,6
0,15,200,0,48,0,9.600000000000032,96.00000000000033,10500.0,0,1.0,14,48
1,15,15,0,1,0,0.0,0.0,69.0,3,-1.1,9,1
2,15,21,0,2,1,0.0,0.0,126.0,3,-1.1,9,2
3,15,21,0,2,1,0.0,0.0,126.0,2,-1.1,11,2
0,16,140,0,22,8,0.0,0.0,2508.0,2,-1.1,20,22
1,16,200,0,52,1,12.00000000000004,120.00000000000038,14592.0,0,1.0,24,52
2,16,200,3,38,5,3.599999999999991,53.99999999999992,4434.0,1,1.8,33,41
3,16,15,0,1,0,0.0,0.0,57.0,2,-1.1,10,1
0,17,50,1,7,4,0.0,5.999999999999997,465.0,0,-0.1999999999999999,25,8
1,17,200,1,48,0,9.600000000000026,102.00000000000026,9396.0,0,1.8,38,49
2,17,92,0,14,6,0.0,0.0,864.0,4,-1.1,39,14
3,17,128,0,20,8,0.0,0.0,1608.0,4,-1.1,40,20
0,18,146,0,23,8,0.0,0.0,1755.0,2,-1.1,35,23
1,18,200,0,51,2,11.400000000000023,114.00000000000024,12516.0,0,1.0,41,51
2,18,15,0,1,1,0.0,0.0,81.0,4,-1.1,9,1
3,18,164,0,26,1,0.0,0.0,3624.0,2,-1.1,26,26
0,19,117,0,18,5,0.0,0.0,906.0,2,-1.1,31,18
1,19,200,0,54,0,13.200000000000028,132.00000000000026,13380.0,0,1.0,44,54
2,19,27,0,3,1,0.0,0.0,153.0,4,-1.1,12,3
3,19,140,0,22,1,0.0,0.0,2580.0,2,-1.1,29,22
0,20,200,0,46,1,8.400000000000018,84.00000000000017,8568.0,0,1.0,36,46
1,20,44,0,6,0,0.0,0.0,372.0,0,-1.0,9,6
2,20,74,0,11,8,0.0,0.0,957.0,0,-1.0,23,11
