,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
2842,1,38,9,1,0,0,0.0,5,0,-0.1999999999999999,6,1
2925,2,39,21,0,4,0,1.1,11,0,0.0,13,4
2926,3,39,21,0,2,0,0.0,0,3,-1.1,10,2
3055,0,40,33,0,7,0,1.6999999999999988,16,0,0.0,16,7
3056,1,40,33,0,4,0,0.0,0,2,-1.1,14,4
3115,2,41,15,1,3,0,1.0999999999999996,16,0,0.8,9,4
3116,3,41,15,0,1,0,0.0,0,2,-1.1,10,1
3244,3,42,32,0,5,1,0.6000000000000002,6,0,0.0,15,5
3245,0,42,33,1,4,1,0.0,5,0,-0.1999999999999999,16,5
3280,2,43,9,1,1,0,0.5000000000000002,11,0,0.8,6,2
3281,3,43,9,0,0,0,0.0,0,1,-1.1,4,0
3316,2,44,9,0,1,0,0.5000000000000002,5,0,0.0,5,1
3317,3,44,9,1,0,0,0.0,5,0,-0.1999999999999999,6,1
3352,2,45,9,0,1,0,0.5000000000000002,5,0,0.0,6,1
3353,3,45,9,0,0,0,0.0,0,1,-1.1,5,0
3506,0,46,39,0,6,0,0.5000000000000006,5,1,0.8,16,6
3507,1,46,39,0,5,0,0.0,0,2,-1.1,18,5
