,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
69,18,1,0.24519846350832267,2.619078104993598,0.4206145966709347,0.5715108834827146,7.186299615877082,139.66453265044814,0.21658130601792575,8.782970550576184,1562
70,18,2,0.2538716814159292,2.762721238938053,0.5519911504424779,0.6576880530973452,8.100110619469028,147.40265486725664,0.2651548672566372,8.725110619469026,1808
71,18,3,0.2025974025974026,2.816233766233766,0.04935064935064935,0.6897402597402598,8.112987012987013,149.46363636363637,0.24298701298701303,8.465584415584416,1540
72,19,0,0.23786407766990292,3.1952535059331177,0.6548004314994607,0.8172060409924488,9.599244875943903,180.0059331175836,0.2593311758360302,9.052319309600863,1854
73,19,1,0.2119078104993598,2.7983354673495517,0.44430217669654287,0.5790653008962869,7.062099871959028,146.63444302176697,0.22215108834827144,9.104993597951344,1562
74,19,2,0.24280973451327434,2.938053097345133,0.577433628318584,0.6628871681415931,8.085730088495577,155.36227876106196,0.23827433628318584,9.024889380530974,1808
75,19,3,0.17142857142857143,2.9714285714285715,0.06233766233766234,0.6828571428571428,7.857142857142857,157.3090909090909,0.2157792207792208,8.784415584415584,1540
76,20,0,0.23247033441208198,3.358683926645092,0.7006472491909385,0.8152642934196331,9.547464940668823,189.44983818770226,0.2504854368932039,9.424487594390508,1854
77,20,1,0.19014084507042253,2.9641485275288093,0.471190781049936,0.5785531370038414,6.926376440460949,153.41485275288093,0.1941741357234315,9.45966709346991,1562
78,20,2,0.23396017699115043,3.107853982300885,0.6144911504424779,0.6647676991150443,8.051438053097346,163.31415929203538,0.23827433628318584,9.376106194690266,1808
79,20,3,0.18961038961038962,3.1064935064935066,0.07272727272727272,0.6638961038961039,7.776623376623377,165.0038961038961,0.19220779220779222,9.124675324675325,1540
80,21,0,0.2408008658008658,3.5324675324675323,0.7478354978354979,0.8248917748917747,9.671536796536795,199.0568181818182,0.1979978354978355,4.999458874458875,1848
81,21,1,0.18356867779204109,3.099486521181001,0.5089858793324775,0.5737483953786907,6.798459563543004,160.02182284980745,0.018806161745827984,5.0,1558
82,21,2,0.20411568409343714,3.2880978865406005,0.6540600667408232,0.6803670745272526,8.006674082313681,171.1440489432703,0.1617908787541713,5.0,1798
83,21,3,0.17677756033920417,3.2713633398564905,0.08023483365949119,0.6753424657534246,7.7775603392041734,172.6764514024788,0.06992824527071102,4.999347684279191,1533
84,22,0,0.26472269868496284,3.743281875357347,0.7873070325900514,0.8460263007432817,10.048599199542593,213.03887935963408,0.2220125786163522,5.862778730703259,1749
85,22,1,0.2373134328358209,3.3470149253731343,0.5485074626865671,0.608358208955224,7.507462686567165,174.1007462686567,0.12902985074626866,5.8283582089552235,1340
86,22,2,0.24939903846153846,3.4951923076923075,0.6868990384615384,0.6971754807692309,8.468149038461538,183.51682692307693,0.2,5.844350961538462,1664
87,22,3,0.17300521998508575,3.587621178225205,0.08650260999254288,0.752572706935123,8.563758389261743,188.69127516778522,0.22020879940343027,5.829977628635347,1341
88,23,0,0.2652944539736993,3.907947398513436,0.8130360205831904,0.8448256146369352,10.040022870211548,223.0,0.2395082904516867,6.518010291595197,1749
89,23,1,0.24495892457057505,3.4652725914861837,0.572068707991038,0.5791635548917103,7.261389096340554,181.32188200149366,0.15056011949215833,6.416728902165795,1339
90,23,2,0.27524038461538464,3.637019230769231,0.7097355769230769,0.6822716346153848,8.474158653846153,191.93689903846155,0.2370192307692308,6.470552884615385,1664
91,23,3,0.17822520507084266,3.7419835943325874,0.08799403430275914,0.7451901565995526,8.52125279642058,197.17673378076063,0.21931394481730054,6.460104399701716,1341
92,24,0,0.2367066895368782,4.080045740423099,0.8444825614636935,0.8480846197827329,9.901086335048596,232.83933676386508,0.22349914236706692,7.085763293310463,1749
93,24,1,0.22255414488424197,3.6183719193427932,0.5922330097087378,0.571023151605676,7.045556385362212,188.26437640029874,0.18536221060492905,6.894697535474235,1339
94,24,2,0.2530048076923077,3.808894230769231,0.7379807692307693,0.6853966346153846,8.371995192307692,200.22235576923077,0.24254807692307695,6.989783653846154,1664
95,24,3,0.16703952274422074,3.89634601043997,0.09395973154362416,0.737807606263982,8.380313199105144,205.53020134228188,0.21640566741237885,6.924683072334079,1341
96,25,0,0.22184105202973128,4.24928530588908,0.8707833047455689,0.849628359062321,9.8273299028016,242.59462550028587,0.22790165809033736,7.494568324757004,1749
97,25,1,0.21657953696788648,3.766990291262136,0.6191187453323376,0.5601941747572816,6.901418969380136,195.067214339059,0.20814040328603434,7.275578790141897,1339
98,25,2,0.25961538461538464,3.965144230769231,0.7632211538461539,0.6791466346153847,8.349158653846153,208.51021634615384,0.23611778846153847,7.381610576923077,1664
99,25,3,0.1819537658463833,4.035048471290082,0.10216256524981357,0.7210290827740491,8.30201342281879,213.77404921700224,0.20305741983594333,7.31096196868009,1341
100,26,0,0.22069754145225842,4.41052029731275,0.9068038879359634,0.8463693539165235,9.787878787878785,252.28301886792454,0.21292166952544314,7.935963407661521,1749
101,26,1,0.1859596713965646,3.9312920089619117,0.6497386109036595,0.5587752053771472,6.70351008215086,201.64077669902912,0.16340552651232262,7.69529499626587,1339
102,26,2,0.21754807692307693,4.149639423076923,0.7938701923076923,0.6898437500000001,8.203725961538462,216.66706730769232,0.23485576923076923,7.825721153846154,1664
103,26,3,0.17971662938105892,4.1894108873974645,0.10887397464578673,0.7136465324384786,8.214765100671139,221.90380313199105,0.18523489932885906,7.7255779269202085,1341
104,27,0,0.23495032144944478,4.5850379894798365,0.9526592635885447,0.8569842197545292,9.96317942723553,262.70134424313267,0.16171829339567503,8.526592635885446,1711
105,27,1,0.18518518518518517,4.08641975308642,0.6674382716049383,0.5681327160493828,6.753086419753086,207.2337962962963,-0.019521604938271608,8.286265432098766,1296
106,27,2,0.19914738124238734,4.325213154689403,0.8142509135200975,0.7025578562728381,8.204019488428745,224.56577344701583,0.14470158343483558,8.403166869671132,1642
107,27,3,0.14730447987851178,4.365223993925588,0.11313591495823842,0.7309794988610477,8.170842824601365,230.00379650721337,0.06370539104024298,8.27410782080486,1317
108,28,0,0.24347826086956523,4.816149068322981,1.004968944099379,0.8897515527950308,10.358385093167698,278.96024844720495,0.19000000000000003,9.219254658385093,1610
109,28,1,0.223963133640553,4.359447004608295,0.7308755760368664,0.615668202764977,7.500460829493088,223.636866359447,0.11290322580645162,9.048847926267282,1085
110,28,2,0.2465483234714004,4.537146614069691,0.8382642998027613,0.722353714661407,8.702827087442472,238.10387902695595,0.1933596318211703,9.111768573307035,1521
111,28,3,0.15676141257536608,4.667527993109388,0.12144702842377261,0.8005167958656328,8.945736434108525,248.74418604651163,0.19130060292850992,8.934539190353144,1161
112,29,0,0.2360248447204969,4.956521739130435,1.0316770186335404,0.8739751552795028,10.15590062111801,289.07142857142856,0.20062111801242236,9.78385093167702,1610
113,29,1,0.24608294930875577,4.470967741935484,0.7391705069124423,0.5825806451612905,7.302304147465438,230.88387096774193,0.15124423963133643,9.548387096774194,1085
114,29,2,0.2682445759368836,4.679815910585141,0.8566732412886259,0.7079552925706771,8.689020381328074,246.7258382642998,0.22071005917159767,9.618671926364234,1521
115,29,3,0.16968130921619293,4.801894918173988,0.1231696813092162,0.7811369509043925,8.829457364341083,257.56330749354004,0.2012919896640827,9.450473729543496,1161
116,30,0,0.23354037267080746,5.1124223602484475,1.058385093167702,0.8675155279503102,10.076397515527947,299.09565217391304,0.22391304347826088,10.199378881987577,1610
117,30,1,0.24055299539170508,4.623963133640553,0.7585253456221198,0.5743778801843319,7.18709677419355,237.98248847926268,0.19576036866359448,9.903225806451612,1085
118,30,2,0.25443786982248523,4.849441157133465,0.8816568047337278,0.7097304404996713,8.623931623931623,255.26692965154504,0.23523997370151217,9.998027613412228,1521
119,30,3,0.16968130921619293,4.946597760551249,0.13178294573643412,0.7679586563307492,8.697674418604649,266.2248062015504,0.21068044788975024,9.80275624461671,1161
120,31,0,0.21739130434782608,5.278260869565218,1.0850931677018634,0.8670186335403723,9.974534161490679,309.0031055900621,0.2172049689440994,5.0,1610
121,31,1,0.24055299539170508,4.780645161290322,0.7870967741935484,0.5683870967741936,7.127188940092167,245.02119815668203,0.22000000000000003,5.0,1085
122,31,2,0.27087442472057854,5.009204470742932,0.9079552925706772,0.7055884286653518,8.681130834976988,263.8888888888889,0.24917817225509534,5.0,1521
123,31,3,0.19810508182601205,5.078380706287683,0.13695090439276486,0.7470284237726096,8.658914728682168,274.87855297157626,0.2042204995693368,5.0,1161
124,32,0,0.21428571428571427,5.43416149068323,1.1167701863354038,0.8605590062111798,9.891304347826082,318.8086956521739,0.17614906832298138,5.826708074534161,1610
125,32,1,0.20092165898617512,4.950230414746544,0.8119815668202764,0.5701382488479264,6.906912442396314,251.81751152073733,0.15631336405529955,5.815668202764977,1085
126,32,2,0.23076923076923078,5.206443129520053,0.9368836291913215,0.7239316239316239,8.623931623931623,272.43392504930966,0.24661406969099278,5.8257725180802105,1521
127,32,3,0.16623600344530576,5.238587424633936,0.14987080103359174,0.7431524547803615,8.428940568475449,283.2454780361757,0.16770025839793284,5.812230835486649,1161
128,33,0,0.21506761107533806,5.631680618158403,1.1558274307791372,0.8869285254346423,10.137797810688985,329.70186735350933,0.12826786864133935,6.478428847392144,1553
129,33,1,0.17208413001912046,5.1166347992351815,0.8346080305927343,0.5866156787762906,6.864244741873805,257.1261950286807,-0.04474187380497132,6.455066921606119,1046
130,33,2,0.18641810918774968,5.380159786950732,0.9547270306258322,0.7354860186418108,8.45472703062583,280.43209054593876,0.13794940079893475,6.470705725699068,1502
131,33,3,0.16844919786096257,5.4162210338680925,0.14795008912655971,0.7595365418894828,8.586452762923347,291.5597147950089,0.07575757575757576,6.406417112299465,1122
132,34,0,0.23549965059399022,5.8930817610062896,1.2348008385744236,0.9359189378057298,10.772187281621239,350.2886093640811,0.18637316561844863,7.177498252969951,1431
133,34,1,0.21788990825688073,5.409403669724771,0.930045871559633,0.6456422018348624,7.763761467889908,275.58715596330273,0.12717889908256882,7.185779816513762,872
134,34,2,0.21479885057471265,5.5969827586206895,0.9906609195402298,0.7582614942528734,8.87140804597701,295.2772988505747,0.18139367816091956,7.203304597701149,1392
135,34,3,0.16600790513833993,5.707509881422925,0.1600790513833992,0.8245059288537546,9.241106719367586,310.67193675889325,0.20503952569169961,7.0770750988142295,1012
