episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
110,120.0,5754.0,3367.5,13470.0,2,42,28.5,114,21,200,155.25,621
111,41.0,2544.0,697.75,2791.0,1,34,9.75,39,9,200,61.25,245
112,74.0,6378.0,1694.5,6778.0,2,40,12.5,50,15,200,68.75,275
113,71.0,4086.0,1938.5,7754.0,1,38,23.75,95,9,200,136.0,544
114,71.0,6048.0,1882.75,7531.0,1,37,15.0,60,9,200,88.0,352
115,248.0,2850.0,954.75,3819.0,7,33,15.0,60,45,200,92.75,371
116,36.0,3042.0,794.75,3179.0,0,36,9.25,37,9,200,56.75,227
117,207.0,4320.0,1321.75,5287.0,5,37,15.0,60,39,200,85.25,341
118,96.0,3858.0,1053.5,4214.0,2,38,11.75,47,15,200,67.25,269
119,65.0,3294.0,879.0,3516.0,1,36,10.0,40,9,200,58.25,233
120,197.0,1116.0,465.75,1863.0,5,14,7.75,31,33,92,50.75,203
121,200.0,4866.0,1507.75,6031.0,4,40,16.25,65,27,200,91.25,365
122,69.0,255.0,133.0,532.0,1,5,2.5,10,9,39,21.0,84
123,36.0,7116.0,3892.5,15570.0,0,41,29.0,116,9,200,152.25,609
124,77.0,5802.0,1995.5,7982.0,1,41,19.75,79,9,200,112.25,449
125,111.0,5526.0,3609.75,14439.0,3,40,29.25,117,27,200,156.75,627
126,59.0,8538.0,3494.5,13978.0,1,44,21.75,87,9,200,107.5,430
127,372.0,9258.0,3333.5,13334.0,8,43,24.25,97,57,200,130.0,520
128,41.0,8454.0,3752.75,15011.0,1,44,29.5,118,9,200,152.25,609
129,47.0,3057.0,944.25,3777.0,1,17,8.75,35,9,110,56.75,227
130,63.0,2271.0,732.25,2929.0,1,31,10.75,43,15,194,70.25,281
131,59.0,8040.0,2950.25,11801.0,1,45,25.5,102,9,200,134.25,537
132,213.0,4830.0,3066.75,12267.0,5,41,29.25,117,39,200,159.75,639
133,65.0,7122.0,1910.0,7640.0,1,42,13.5,54,9,200,73.25,293
134,71.0,7284.0,4544.75,18179.0,1,43,30.5,122,9,200,152.25,609
135,65.0,3132.0,849.25,3397.0,1,37,10.5,42,9,200,61.25,245
136,71.0,2886.0,1302.75,5211.0,1,35,19.0,76,9,200,113.75,455
137,92.0,8976.0,2663.5,10654.0,2,45,20.25,81,15,200,107.5,430
138,401.0,4284.0,2148.25,8593.0,9,38,23.0,92,57,200,130.0,520
139,65.0,9846.0,3615.5,14462.0,1,44,21.0,84,9,200,106.0,424
140,71.0,5928.0,2290.25,9161.0,1,39,18.75,75,9,200,107.5,430
141,41.0,6744.0,2595.5,10382.0,1,43,22.5,90,9,200,111.75,447
142,42.0,5610.0,2167.25,8669.0,0,39,18.5,74,9,200,104.5,418
143,71.0,5928.0,1854.25,7417.0,1,39,19.75,79,9,200,112.0,448
144,81.0,2946.0,1028.75,4115.0,1,35,14.0,56,15,200,83.5,334
145,83.0,6432.0,1769.5,7078.0,2,40,14.25,57,9,200,77.75,311
146,69.0,5442.0,1431.25,5725.0,1,41,11.5,46,9,200,61.25,245
147,77.0,8352.0,3799.25,15197.0,1,44,25.25,101,9,200,125.5,502
148,59.0,6630.0,2204.0,8816.0,2,44,22.25,89,9,200,118.0,472
149,36.0,7626.0,3735.0,14940.0,0,44,29.0,116,9,200,152.25,609
150,42.0,3870.0,1138.5,4554.0,0,35,11.5,46,9,200,71.5,286
151,47.0,8070.0,4499.75,17999.0,1,45,30.0,120,9,200,152.25,609
152,41.0,5820.0,2092.0,8368.0,1,41,20.0,80,9,200,104.5,418
153,119.0,8406.0,4276.25,17105.0,3,45,28.5,114,21,200,146.5,586
154,168.0,4251.0,1397.75,5591.0,4,29,12.75,51,33,182,83.5,334
155,527.0,13644.0,4919.75,19679.0,13,52,33.75,135,81,200,170.25,681
156,68.0,3720.0,1115.5,4462.0,2,37,13.25,53,15,200,77.75,311
157,59.0,9066.0,3902.75,15611.0,2,48,28.25,113,9,200,143.25,573
