,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,count
63,16,3,0.174884437596302,2.5077041602465333,0.06086286594761171,0.7046995377503853,8.096302003081664,0.046918335901386755,7.665639445300462,1298
64,17,0,0.2654377880184332,2.973271889400922,0.7576036866359447,0.8840552995391704,10.433179723502302,0.2999078341013825,8.412903225806451,1085
65,17,1,0.25069124423963135,2.4525345622119814,0.4304147465437788,0.5716129032258066,7.220276497695854,0.1959447004608295,8.381566820276499,1085
66,17,2,0.2783410138248848,2.656221198156682,0.5990783410138248,0.6938248847926268,8.608294930875577,0.26129032258064516,8.297695852534563,1085
67,17,3,0.1870967741935484,2.6903225806451614,0.06820276497695853,0.7142857142857143,8.265437788018433,0.27152073732718895,8.164976958525346,1085
68,18,0,0.23317972350230415,3.1640552995391706,0.8175115207373271,0.8985253456221197,10.38433179723502,0.29373271889400926,8.752073732718895,1085
69,18,1,0.24608294930875577,2.640552995391705,0.45806451612903226,0.5844239631336406,7.320737327188941,0.25861751152073736,8.732718894009217,1085
70,18,2,0.23225806451612904,2.888479262672811,0.6350230414746544,0.7331797235023042,8.725345622119816,0.3071889400921659,8.608294930875577,1085
71,18,3,0.1815668202764977,2.865437788018433,0.07557603686635944,0.7193548387096774,8.28294930875576,0.2597235023041475,8.452534562211982,1085
72,19,0,0.27004608294930876,3.342857142857143,0.8589861751152074,0.9058064516129031,10.678341013824884,0.2967741935483871,9.03963133640553,1085
73,19,1,0.22027649769585253,2.8405529953917052,0.4986175115207373,0.6044239631336408,7.365898617511522,0.27972350230414744,9.046082949308756,1085
74,19,2,0.2064516129032258,3.0792626728110597,0.6764976958525346,0.7476497695852535,8.71520737327189,0.276221198156682,8.90967741935484,1085
75,19,3,0.19447004608294932,3.026728110599078,0.08387096774193549,0.7161290322580646,8.328110599078341,0.25078341013824884,8.708755760368664,1085
76,20,0,0.24331797235023042,3.584331797235023,0.9207373271889401,0.9506912442396311,10.966820276497694,0.33004608294930876,9.389861751152074,1085
77,20,1,0.16866359447004609,3.0175115207373273,0.5529953917050692,0.6105990783410139,7.117972350230415,0.24018433179723506,9.423963133640553,1085
78,20,2,0.20921658986175115,3.255299539170507,0.7308755760368664,0.7532718894009217,8.788018433179724,0.2550230414746544,9.244239631336406,1085
79,20,3,0.2064516129032258,3.1870967741935483,0.0967741935483871,0.7123502304147465,8.362211981566821,0.24267281105990784,9.027649769585253,1085
80,21,0,0.22899353647276086,3.7820867959372113,0.9953831948291783,0.9722068328716524,11.075715604801474,0.24145891043397968,5.0,1083
81,21,1,0.14061054579093432,3.1840888066604993,0.6040703052728955,0.6210915818686402,7.03145235892692,0.07890841813135985,5.0,1081
82,21,2,0.17250922509225092,3.4095940959409594,0.809040590405904,0.7498154981549816,8.526752767527675,0.17739852398523986,5.0,1084
83,21,3,0.17250922509225092,3.3837638376383765,0.1033210332103321,0.7393911439114391,8.403136531365313,0.13394833948339485,5.0,1084
84,22,0,0.22466539196940727,3.988527724665392,1.0411089866156789,0.9932122370936899,11.280114722753343,0.044933078393881457,5.963671128107075,1046
85,22,1,0.20228215767634855,3.3807053941908713,0.6618257261410788,0.628526970954357,7.498962655601661,-0.004253112033195018,5.781120331950207,964
86,22,2,0.23478260869565218,3.577777777777778,0.8502415458937198,0.7467632850241546,8.87632850241546,0.01053140096618358,5.963285024154589,1035
87,22,3,0.15730337078651685,3.6710929519918283,0.10929519918283963,0.8027579162410622,8.971399387129724,0.06915219611848827,5.971399387129725,979
88,23,0,0.26997578692493945,4.1658595641646485,1.1295399515738498,0.9996368038740918,11.616222760290553,0.29116222760290555,6.650121065375303,826
89,23,1,0.25544794188861986,3.4951573849878934,0.6876513317191283,0.597215496368039,7.504842615012108,0.21476997578692494,6.305084745762712,826
90,23,2,0.24455205811138014,3.776029055690073,0.9055690072639225,0.7657384987893463,9.124697336561743,0.274455205811138,6.619854721549637,826
91,23,3,0.18159806295399517,3.843825665859564,0.12469733656174334,0.806416464891041,9.153753026634382,0.24334140435835352,6.613801452784504,826
92,24,0,0.2675544794188862,4.3692493946731235,1.1864406779661016,1.0216707021791764,11.822033898305081,0.3094430992736078,7.184019370460049,826
93,24,1,0.22033898305084745,3.6779661016949152,0.725181598062954,0.606900726392252,7.391041162227604,0.22663438256658597,6.85956416464891,826
94,24,2,0.20581113801452786,3.9757869249394675,0.9539951573849879,0.785593220338983,9.090799031476998,0.27953995157384987,7.135593220338983,826
95,24,3,0.1682808716707022,4.014527845036319,0.13922518159806296,0.8088377723970943,9.098062953995155,0.2450363196125908,7.0290556900726395,826
96,25,0,0.2820823244552058,4.552058111380146,1.2542372881355932,1.0313559322033896,12.006053268765129,0.3069007263922518,7.659806295399516,826
97,25,1,0.162227602905569,3.8801452784503634,0.7675544794188862,0.6282082324455207,7.255447941888621,0.2341404358353511,7.325665859564165,826
98,25,2,0.20823244552058112,4.161016949152542,0.9951573849878934,0.7967312348668281,9.216707021791768,0.2728813559322034,7.554479418886198,826
99,25,3,0.16343825665859565,4.159806295399516,0.1513317191283293,0.7960048426150119,8.940677966101694,0.22300242130750608,7.4176755447941884,826
100,26,0,0.25302663438256656,4.737288135593221,1.3559322033898304,1.0424939467312344,11.943099273607745,0.3050847457627119,8.139225181598063,826
101,26,1,0.17554479418886199,4.036319612590799,0.8184019370460048,0.6219128329297823,7.2723970944309935,0.19818401937046007,7.8208232445520585,826
102,26,2,0.21670702179176757,4.35956416464891,1.049636803874092,0.8158595641646489,9.458837772397095,0.26864406779661015,7.991525423728813,826
103,26,3,0.20217917675544794,4.306295399515738,0.16464891041162227,0.7838983050847457,9.052058111380145,0.23849878934624696,7.858353510895884,826
104,27,0,0.25609756097560976,4.95,1.4317073170731707,1.0723170731707312,12.247560975609751,0.2624390243902439,8.753658536585366,820
105,27,1,0.14878048780487804,4.185365853658537,0.8841463414634146,0.6235365853658538,7.107317073170732,0.031219512195121948,8.448780487804878,820
106,27,2,0.21776155717761558,4.547445255474453,1.102189781021898,0.8307785888077859,9.610705596107055,0.2288321167883212,8.559610705596107,822
107,27,3,0.16747572815533981,4.50121359223301,0.1796116504854369,0.8093446601941746,9.076456310679609,0.13106796116504854,8.447815533980583,824
108,28,0,0.24430379746835443,5.1746835443037975,1.5025316455696203,1.1049367088607591,12.515189873417716,0.08189873417721519,9.49746835443038,790
109,28,1,0.2189265536723164,4.426553672316384,0.9661016949152542,0.6562146892655368,7.875706214689266,0.0440677966101695,9.153954802259888,708
110,28,2,0.25063291139240507,4.720253164556962,1.1341772151898735,0.8322784810126581,9.82658227848101,0.015443037974683552,9.262025316455697,790
111,28,3,0.17297297297297298,4.77027027027027,0.1918918918918919,0.862297297297297,9.660810810810808,0.06608108108108109,9.151351351351352,740
112,29,0,0.2416,5.3904,1.6016,1.1343999999999994,12.793599999999994,0.2744,10.024,625
113,29,1,0.23557692307692307,4.5673076923076925,1.0128205128205128,0.6403846153846156,7.817307692307693,0.2189102564102564,9.567307692307692,624
114,29,2,0.2288,4.9568,1.2096,0.87424,10.115199999999998,0.25888,9.7344,625
115,29,3,0.1728,4.9568,0.216,0.8742399999999998,9.779199999999998,0.23712000000000003,9.6368,625
116,30,0,0.27564102564102566,5.559294871794871,1.6586538461538463,1.1355769230769226,13.009615384615378,0.28926282051282054,10.419871794871796,624
117,30,1,0.21314102564102563,4.748397435897436,1.0400641025641026,0.6490384615384617,7.769230769230771,0.22403846153846155,9.939102564102564,624
118,30,2,0.20673076923076922,5.126602564102564,1.2628205128205128,0.8759615384615383,9.999999999999998,0.2543269230769231,10.059294871794872,624
119,30,3,0.16346153846153846,5.128205128205129,0.23076923076923078,0.8769230769230766,9.749999999999996,0.24358974358974358,9.919871794871796,624
120,31,0,0.2724358974358974,5.7451923076923075,1.7275641025641026,1.147115384615384,13.105769230769225,0.31298076923076923,5.0,624
121,31,1,0.20032051282051283,4.9375,1.0769230769230769,0.6625000000000002,7.826923076923078,0.25352564102564107,5.0,624
122,31,2,0.22596153846153846,5.2868589743589745,1.3060897435897436,0.8721153846153845,10.076923076923075,0.25576923076923075,5.0,624
123,31,3,0.1971153846153846,5.2868589743589745,0.23557692307692307,0.8721153846153843,9.903846153846152,0.24871794871794875,5.0,624
124,32,0,0.21794871794871795,5.940705128205129,1.8317307692307692,1.1644230769230763,12.95192307692307,0.30480769230769234,5.884615384615385,624
125,32,1,0.1794871794871795,5.118589743589744,1.1201923076923077,0.6711538461538462,7.78846153846154,0.19471153846153846,5.9006410256410255,624
126,32,2,0.23717948717948717,5.488782051282051,1.358974358974359,0.8932692307692306,10.35576923076923,0.2825320512820513,5.780448717948718,624
127,32,3,0.16987179487179488,5.459935897435898,0.2644230769230769,0.8759615384615381,9.778846153846152,0.2189102564102564,5.8173076923076925,624
128,33,0,0.22508038585209003,6.143086816720257,1.892282958199357,1.1869774919614142,13.215434083601277,0.24083601286173636,6.615755627009646,622
129,33,1,0.1742671009771987,5.2817589576547235,1.1693811074918568,0.6786644951140066,7.814332247557004,0.08061889250814332,6.584690553745928,614
130,33,2,0.22792937399678972,5.65008025682183,1.4221508828250402,0.8934189406099518,10.296950240770462,0.18571428571428572,6.417335473515249,623
131,33,3,0.17341977309562398,5.636952998379255,0.2787682333873582,0.8876823338735815,9.905996758508909,0.14975688816855753,6.491085899513776,617
132,34,0,0.2604340567612688,6.323873121869783,1.9549248747913188,1.194323873121869,13.505843071786304,0.0988313856427379,7.387312186978297,599
133,34,1,0.21245421245421245,5.503663003663004,1.2582417582417582,0.7021978021978023,8.296703296703297,0.07216117216117217,7.282051282051282,546
134,34,2,0.2482876712328767,5.85445205479452,1.4691780821917808,0.9126712328767121,10.61643835616438,0.08167808219178083,7.174657534246576,584
135,34,3,0.159369527145359,5.893169877408056,0.29597197898423816,0.9359019264448332,10.315236427320485,0.10157618213660247,7.2626970227670755,571
136,35,0,0.2540322580645161,6.540322580645161,2.064516129032258,1.224193548387096,13.766129032258057,0.2715725806451613,8.004032258064516,496
137,35,1,0.22983870967741934,5.629032258064516,1.282258064516129,0.6774193548387097,8.153225806451614,0.20766129032258066,7.826612903225806,496
138,35,2,0.2620967741935484,6.046370967741935,1.5463709677419355,0.927822580645161,10.8508064516129,0.2675403225806452,7.770161290322581,496
139,35,3,0.1532258064516129,6.118951612903226,0.29435483870967744,0.9713709677419351,10.633064516129027,0.23528225806451614,7.866935483870968,496
140,36,0,0.28024193548387094,6.725806451612903,2.125,1.2354838709677411,14.036290322580635,0.29858870967741935,8.497983870967742,496
141,36,1,0.1693548387096774,5.826612903225806,1.3205645161290323,0.6959677419354839,7.975806451612904,0.2377016129032258,8.274193548387096,496
142,36,2,0.2157258064516129,6.25,1.6108870967741935,0.9499999999999997,10.794354838709674,0.2875,8.235887096774194,496
143,36,3,0.16532258064516128,6.270161290322581,0.3004032258064516,0.9620967741935479,10.612903225806447,0.22076612903225806,8.235887096774194,496
144,37,0,0.2721774193548387,6.921370967741935,2.2076612903225805,1.2528225806451605,14.161290322580635,0.31693548387096776,8.887096774193548,496
145,37,1,0.16330645161290322,5.985887096774194,1.3629032258064515,0.6915322580645162,7.895161290322582,0.21108870967741936,8.643145161290322,496
146,37,2,0.22379032258064516,6.439516129032258,1.6673387096774193,0.9637096774193546,10.979838709677416,0.2534274193548387,8.602822580645162,496
147,37,3,0.14717741935483872,6.415322580645161,0.3245967741935484,0.9491935483870964,10.374999999999995,0.21008064516129032,8.574596774193548,496
148,38,0,0.25201612903225806,7.118951612903226,2.3044354838709675,1.2713709677419347,14.225806451612893,0.29536290322580644,9.294354838709678,496
149,38,1,0.14516129032258066,6.163306451612903,1.4133064516129032,0.6979838709677421,7.850806451612904,0.18629032258064518,9.038306451612904,496
150,38,2,0.1975806451612903,6.604838709677419,1.7439516129032258,0.9629032258064513,10.814516129032254,0.23951612903225808,8.965725806451612,496
151,38,3,0.17943548387096775,6.55241935483871,0.3407258064516129,0.9314516129032252,10.391129032258059,0.19576612903225807,8.90725806451613,496
152,39,0,0.24693877551020407,7.316326530612245,2.3918367346938774,1.2918367346938766,14.387755102040806,0.23734693877551022,9.816326530612244,490
153,39,1,0.16089613034623218,6.340122199592668,1.4521384928716905,0.7114052953156823,8.071283095723015,0.0739307535641548,9.543788187372709,491
154,39,2,0.19066937119675456,6.758620689655173,1.8073022312373226,0.9582150101419874,10.722109533468556,0.1612576064908722,9.47870182555781,493
155,39,3,0.17177914110429449,6.746421267893661,0.3496932515337423,0.9535787321063389,10.55828220858895,0.15664621676891619,9.431492842535787,489
156,40,0,0.23655913978494625,7.546236559139785,2.466666666666667,1.32774193548387,14.696774193548377,0.12774193548387097,10.410752688172042,465
157,40,1,0.20227272727272727,6.543181818181818,1.5522727272727272,0.725909090909091,8.472727272727273,0.08409090909090909,10.15,440
158,40,2,0.21739130434782608,6.941304347826087,1.8804347826086956,0.9647826086956518,10.952173913043474,0.07434782608695653,10.07391304347826,460
159,40,3,0.1319910514541387,7.024608501118569,0.36017897091722595,1.0147651006711405,10.939597315436236,0.09306487695749441,10.002237136465324,447
160,41,0,0.26463104325699743,7.732824427480916,2.5318066157760812,1.3396946564885484,14.98473282442747,0.2882951653944021,5.0,393
161,41,1,0.2010178117048346,6.661577608142494,1.5979643765903309,0.6969465648854962,8.17557251908397,0.20534351145038168,5.0,393
