agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,14,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
1,14,27,2,3,1,0.0,11.0,296.0,4,-1.1,17,5
2,14,21,2,2,0,0.0,11.0,167.0,0,-0.1999999999999999,15,4
3,14,200,1,38,0,3.599999999999989,41.999999999999886,5694.0,0,1.0,20,39
0,15,200,0,46,6,8.400000000000018,84.00000000000017,7998.0,0,1.0,31,46
1,15,62,0,9,2,0.0,0.0,519.0,4,-1.1,23,9
2,15,15,0,1,1,0.0,0.0,105.0,4,-1.1,12,1
3,15,200,1,44,0,7.200000000000014,78.00000000000014,8388.0,0,1.0,25,45
0,16,21,0,2,1,0.0,0.0,108.0,1,-1.1,12,2
1,16,21,2,2,4,0.0,11.0,179.0,0,-0.1999999999999999,10,4
2,16,21,0,2,2,0.0,0.0,120.0,2,-1.1,9,2
3,16,200,1,43,0,6.600000000000024,72.00000000000023,9258.0,0,1.0,14,44
0,17,200,0,41,4,5.400000000000008,54.00000000000008,6516.0,1,1.8,27,41
1,17,200,0,39,9,4.1999999999999895,41.99999999999989,5562.0,0,1.0,33,39
2,17,33,0,4,2,0.0,0.0,234.0,2,-1.1,16,4
3,17,200,0,47,2,9.000000000000025,90.00000000000024,11100.0,0,1.0,28,47
0,18,200,0,38,3,3.6000000000000014,36.000000000000014,5298.0,0,1.0,21,38
1,18,200,2,37,9,2.999999999999987,41.999999999999865,5142.0,0,1.0,26,39
2,18,9,0,0,1,0.0,0.0,42.0,0,-1.0,6,0
3,18,200,0,49,0,10.200000000000015,102.00000000000016,10164.0,0,1.0,23,49
0,19,15,1,1,0,0.0,5.000000000000002,92.0,0,-0.1999999999999999,9,2
1,19,15,1,1,0,0.0,5.000000000000001,116.0,0,-1.0,8,2
2,19,21,0,2,0,0.0,0.0,102.0,2,-1.1,12,2
3,19,200,2,37,0,2.9999999999999933,41.99999999999993,4020.0,1,1.8,18,39
0,20,15,0,1,1,0.0,0.0,75.0,1,-1.1,10,1
1,20,15,2,1,3,0.0,11.0,140.0,0,-1.0,9,3
2,20,21,0,2,1,0.0,0.0,138.0,4,-1.1,13,2
