episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
68,23,1,4.3478260869565215,9699.199999999995,37037,3398829.2999999993
69,28,4,14.285714285714285,9689.799999999994,38345,3367857.839999999
70,19,1,5.263157894736842,11075.999999999996,45912,5662741.980000002
71,31,4,12.903225806451612,8736.900000000003,34201,2306465.1600000006
72,31,1,3.225806451612903,12987.399999999998,46649,2191955.279999998
73,8,2,25.0,24.400000000000006,306,-18.0
74,20,3,15.0,2262.1,8973,48255.630000000005
75,15,0,0.0,5999.999999999992,22850,170738.64000000022
76,8,0,0.0,138.4,828,569.76
77,8,0,0.0,6494.400000000009,27095,1053260.8800000004
78,8,2,25.0,1182.6999999999996,8213,87234.53999999992
79,7,0,0.0,231.99999999999997,1124,3119.2799999999997
80,28,4,14.285714285714285,9123.999999999993,38054,3269465.79
81,15,1,6.666666666666667,675.0000000000001,3272,7837.4400000000005
82,19,0,0.0,2947.5999999999967,14628,88959.29999999996
83,25,2,8.0,9256.599999999991,38210,4945559.820000001
84,19,3,15.789473684210526,10354.099999999993,34861,7919134.739999999
85,23,3,13.043478260869565,11225.199999999986,43427,5005261.980000001
86,14,0,0.0,6223.199999999988,24773,801733.440000001
87,36,9,25.0,5629.799999999998,25390,341892.9300000002
88,19,0,0.0,8639.599999999997,35702,5028053.760000001
89,25,2,8.0,10102.399999999998,41175,3383473.2000000016
90,11,1,9.090909090909092,3652.3999999999974,15686,1459670.2799999996
91,22,1,4.545454545454546,3085.3999999999974,12578,154653.36000000007
92,24,0,0.0,10341.199999999993,39599,3079454.7
93,26,3,11.538461538461538,9217.2,38758,3625123.9199999985
94,12,0,0.0,10313.6,38517,3463008.2399999965
95,18,1,5.555555555555555,11085.600000000008,44850,6718748.519999995
96,20,3,15.0,11829.100000000006,40961,3937399.049999996
97,12,0,0.0,8692.999999999996,28472,6431690.880000001
98,21,1,4.761904761904762,11532.599999999995,44427,2965673.9999999977
99,29,5,17.24137931034483,7455.999999999993,33198,2445460.98
100,7,0,0.0,44.80000000000001,370,171.35999999999999
101,25,1,4.0,1897.4000000000008,8165,71449.56000000004
102,24,4,16.666666666666664,3353.9999999999986,13505,385426.86000000016
103,13,0,0.0,489.60000000000025,2224,4384.319999999999
104,20,0,0.0,1343.2000000000005,5541,25163.76
