reward,numerosity,fitness
0,228,0.0
0,3,0.0
0,680,0.0
0,144,0.0
0,228,0.0
0,12,0.0
0,24,0.0
0,247,0.0
0,487,0.0
-6,210,-16.2
0,262,0.0
0,511,0.0
-6,162,-36.0
0,4,0.0
0,465,0.0
-6,144,0.0
0,246,0.0
0,271,0.0
0,431,0.0
-6,174,0.0
0,458,0.0
0,90,0.0
0,475,0.0
-6,96,-10.8
0,253,0.0
0,243,0.0
0,510,0.0
0,36,0.0
0,24,0.0
0,168,0.0
0,246,0.0
0,524,0.0
-6,150,0.0
0,6,0.0
0,460,0.0
-6,180,-54.0
0,239,0.0
0,482,0.0
-6,126,0.0
0,418,0.0
-6,108,0.0
0,247,0.0
0,444,0.0
0,120,0.0
0,18,0.0
0,3,0.0
0,266,0.0
0,465,0.0
-6,180,-45.0
0,24,0.0
0,474,0.0
-6,132,-54.0
0,24,0.0
0,248,0.0
0,463,0.0
-6,156,0.0
0,524,0.0
-6,174,-45.0
0,6,0.0
0,498,0.0
-6,204,-54.0
0,507,0.0
-6,228,0.0
0,488,0.0
0,72,0.0
0,9,0.0
0,519,0.0
0,54,0.0
0,126,0.0
0,18,0.0
0,265,0.0
0,501,0.0
0,24,0.0
-6,162,0.0
0,18,0.0
0,30,0.0
0,18,0.0
0,18,0.0
0,30,0.0
0,451,0.0
-6,150,-3.6
0,519,0.0
-6,168,-45.0
0,2,0.0
0,240,0.0
0,456,0.0
0,60,0.0
0,533,0.0
0,24,0.0
-6,102,-16.2
0,491,0.0
-6,150,-10.8
0,474,0.0
-6,186,-3.6
0,271,0.0
0,246,0.0
0,271,0.0
0,508,0.0
-6,222,0.0
0,5,0.0
0,198,0.0
0,42,0.0
-6,96,-14.4
0,443,0.0
-6,126,0.0
0,488,0.0
0,114,0.0
0,733,0.0
0,72,0.0
-12,252,-57.59999999999999
0,447,0.0
0,30,0.0
0,132,0.0
0,30,0.0
0,24,0.0
0,259,0.0
0,254,0.0
0,260,0.0
0,500,0.0
-6,138,-27.0
0,7,0.0
0,481,0.0
-6,144,0.0
0,284,0.0
0,278,0.0
0,278,0.0
0,283,0.0
0,480,0.0
0,24,0.0
-6,156,-36.0
0,260,0.0
0,507,0.0
-6,156,-27.0
0,476,0.0
-6,144,-10.8
0,493,0.0
0,48,0.0
-6,36,0.0
0,456,0.0
-6,102,-3.6
0,248,0.0
0,247,0.0
0,504,0.0
-6,222,-18.0
0,452,0.0
-6,168,-36.0
