day,baseline,egalitarian,maximin,utilitarian,all_principles
30.0,4.371830985915493,4.640692640692641,4.551470588235294,4.798701298701299,4.837326607818411
31.0,4.554929577464788,4.787878787878788,4.694852941176471,4.964285714285714,5.015132408575032
32.0,4.735211267605634,4.961038961038961,4.9411764705882355,5.097402597402597,5.2862547288776796
33.0,4.909090909090909,5.176991150442478,5.086715867158672,5.262798634812286,5.447534766118837
34.0,5.1689655172413795,5.453125,5.439635535307517,5.723214285714286,5.633245382585752
35.0,5.272413793103448,5.578125,5.571753986332574,5.848214285714286,5.761213720316623
36.0,5.413793103448276,5.703125,5.724373576309795,6.017857142857143,5.908970976253298
37.0,5.589655172413793,5.848958333333333,5.895216400911162,6.138392857142857,6.098944591029023
38.0,5.76551724137931,5.96875,6.1298405466970385,6.285714285714286,6.401055408970977
39.0,5.930313588850174,6.173913043478261,6.272311212814645,6.447963800904978,6.5443708609271525
40.0,6.163179916317992,6.529032258064516,6.627397260273972,6.9344490934449095,6.692098092643052
41.0,6.2510460251046025,6.67741935483871,6.761643835616439,7.075581395348837,6.835149863760218
42.0,6.435146443514644,6.787096774193548,6.926027397260274,7.215116279069767,6.974114441416893
43.0,6.606694560669456,6.941935483870968,7.090410958904109,7.412790697674419,7.147138964577657
44.0,6.845188284518828,7.135483870967742,7.295890410958904,7.593023255813954,7.4577656675749315
45.0,7.029535864978903,7.2781456953642385,7.475138121546961,7.757396449704142,7.6195054945054945
46.0,7.252427184466019,7.592592592592593,7.763636363636364,8.01923076923077,7.767605633802817
47.0,7.398058252427185,7.711111111111111,7.931818181818182,8.121794871794872,7.929577464788732
48.0,7.538834951456311,7.874074074074074,8.086363636363636,8.282051282051283,8.1
49.0,7.718446601941747,8.007407407407408,8.24090909090909,8.423076923076923,8.316901408450704
50.0,7.87378640776699,8.185185185185185,8.395454545454545,8.596153846153847,8.60281690140845
51.0,8.039408866995075,8.297709923664122,8.578703703703704,8.85234899328859,8.729078014184397
52.0,8.281609195402298,8.50413223140496,8.857868020304569,9.212403100775195,8.882014388489209
53.0,8.385057471264368,8.636363636363637,8.98477157360406,9.365891472868217,9.007194244604317
54.0,8.568965517241379,8.776859504132231,9.16243654822335,9.492307692307692,9.175539568345323
55.0,8.71264367816092,8.900826446280991,9.350253807106599,9.684615384615384,9.388489208633093
56.0,8.862068965517242,9.066115702479339,9.51776649746193,9.853846153846154,9.70042194092827
57.0,9.017441860465116,9.247863247863247,9.735449735449736,10.064,9.828530259365994
58.0,9.319148936170214,9.58,10.02247191011236,10.344827586206897,9.997084548104956
59.0,9.404255319148936,9.74,10.123595505617978,10.474137931034482,10.154518950437318
60.0,9.581560283687944,9.92,10.331460674157304,10.655172413793103,10.285714285714286
61.0,9.75177304964539,10.09,10.51123595505618,10.775862068965518,10.466472303206997
62.0,9.921985815602836,10.25,10.679775280898877,10.948275862068966,10.773913043478261
63.0,10.08695652173913,10.446808510638299,10.823863636363637,11.151785714285714,10.932748538011696
64.0,10.398230088495575,10.666666666666666,11.048192771084338,11.45631067961165,11.101321585903083
65.0,10.504424778761061,10.908045977011493,11.198795180722891,11.62135922330097,11.252569750367106
66.0,10.690265486725664,11.057471264367816,11.373493975903614,11.728155339805825,11.400881057268723
67.0,10.761061946902656,11.25287356321839,11.55421686746988,11.83495145631068,11.594713656387665
68.0,10.991150442477876,11.32183908045977,11.74698795180723,12.019417475728156,11.886930983847284
69.0,11.150442477876107,11.476190476190476,11.968944099378882,12.25,12.049034175334324
70.0,11.402061855670103,11.753246753246753,12.181818181818182,12.51578947368421,12.186567164179104
71.0,11.484536082474227,11.922077922077921,12.285714285714286,12.610526315789473,12.325373134328359
72.0,11.65979381443299,12.116883116883116,12.493506493506494,12.736842105263158,12.48358208955224
73.0,11.845360824742269,12.220779220779221,12.675324675324676,12.905263157894737,12.688059701492538
74.0,12.041237113402062,12.35064935064935,12.837662337662337,13.052631578947368,12.967164179104477
75.0,12.195876288659793,12.567567567567568,13.006622516556291,13.268817204301076,13.106128550074738
76.0,12.518072289156626,13.046875,13.184931506849315,13.60919540229885,13.250374812593703
77.0,12.63855421686747,13.140625,13.397260273972602,13.701149425287356,13.403298350824588
78.0,12.855421686746988,13.265625,13.534246575342467,13.804597701149426,13.5832083958021
79.0,13.0,13.375,13.705479452054794,13.89655172413793,13.802098950524737
80.0,13.120481927710843,13.484375,13.876712328767123,14.183908045977011,14.071964017991004
81.0,13.228915662650602,13.721311475409836,14.020689655172413,14.54320987654321,14.234234234234235
82.0,13.594202898550725,13.879310344827585,14.205673758865249,14.756410256410257,14.40695915279879
83.0,13.681159420289855,14.086206896551724,14.347517730496454,14.846153846153847,14.568835098335855
84.0,13.927536231884059,14.189655172413794,14.51063829787234,15.0,14.729198184568835
85.0,14.043478260869565,14.362068965517242,14.652482269503546,15.205128205128204,14.940998487140696
86.0,14.18840579710145,14.5,14.836879432624114,15.41025641025641,15.172465960665658
87.0,14.402985074626866,14.773584905660377,15.145038167938932,15.657894736842104,15.33535660091047
88.0,14.688524590163935,15.040816326530612,15.436817472698907,15.876315789473685,15.488549618320612
89.0,14.78688524590164,15.224489795918368,15.625585023400935,16.05,15.662595419847328
90.0,14.901639344262295,15.46938775510204,15.878048780487806,16.221052631578946,15.819847328244276
91.0,15.098360655737705,15.551020408163266,16.03252032520325,16.41842105263158,16.015267175572518
92.0,15.245901639344263,15.714285714285714,16.13821138211382,16.563157894736843,16.236641221374047
93.0,15.5,15.958333333333334,16.311475409836067,16.715425531914892,16.389312977099237
94.0,15.74074074074074,16.195652173913043,16.4736,16.88235294117647,16.572964669738862
95.0,15.814814814814815,16.369565217391305,16.6624,17.06951871657754,16.752688172043012
96.0,16.055555555555557,16.47826086956522,16.84297520661157,17.227272727272727,16.927803379416282
97.0,16.203703703703702,16.52173913043478,17.0,17.398395721925134,17.144393241167435
98.0,16.37037037037037,16.630434782608695,17.198347107438018,17.56149732620321,17.359447004608295
99.0,16.444444444444443,16.782608695652176,17.38135593220339,17.7289972899729,17.534562211981566
100.0,16.576923076923077,17.071428571428573,17.50986842105263,17.920765027322403,17.712519319938178
101.0,16.71153846153846,17.333333333333332,17.652173913043477,18.098360655737704,17.879443585780525
102.0,16.923076923076923,17.452380952380953,17.808695652173913,18.243169398907103,18.08191653786708
103.0,17.0,17.61904761904762,17.991304347826087,18.407103825136613,18.282843894899536
104.0,17.173076923076923,17.80952380952381,18.139130434782608,18.565573770491802,18.49922720247295
105.0,17.392156862745097,17.975609756097562,18.354545454545455,18.768595041322314,18.64760432766615
106.0,17.666666666666668,18.263157894736842,18.504587155963304,18.96398891966759,18.8297213622291
107.0,17.733333333333334,18.44736842105263,18.65137614678899,19.110803324099724,18.9984520123839
108.0,17.866666666666667,18.57894736842105,18.853211009174313,19.26038781163435,19.188854489164086
109.0,18.044444444444444,18.763157894736842,19.01834862385321,19.40443213296399,19.41795665634675
110.0,18.244444444444444,19.0,19.18348623853211,19.55678670360111,19.648606811145513
111.0,18.428571428571427,19.157894736842106,19.420962199312715,19.823863636363637,19.820433436532507
112.0,18.615384615384617,19.289473684210527,19.538194444444443,20.00576368876081,20.00465838509317
113.0,18.692307692307693,19.42105263157895,19.73611111111111,20.172910662824208,20.18944099378882
114.0,18.846153846153847,19.57894736842105,19.970588235294116,20.32564841498559,20.36335403726708
115.0,19.05128205128205,19.736842105263158,20.07843137254902,20.498559077809798,20.546583850931675
116.0,19.23076923076923,19.92105263157895,20.245098039215687,20.631123919308358,20.73913043478261
117.0,19.526315789473685,20.026315789473685,20.453405017921146,20.871345029239766,20.900466562986004
118.0,19.735294117647058,20.305555555555557,20.61090909090909,21.073529411764707,21.073094867807153
119.0,19.823529411764707,20.38888888888889,20.76181818181818,21.241176470588236,21.25660964230171
120.0,19.941176470588236,20.61111111111111,21.010416666666668,21.370588235294118,21.444790046656298
121.0,20.0,20.72222222222222,21.145833333333332,21.54705882352941,21.623639191290824
122.0,20.205882352941178,20.86111111111111,21.312727272727273,21.726470588235294,21.833592534992224
123.0,20.655172413793103,21.11111111111111,21.50371747211896,21.972809667673715,22.010886469673405
124.0,20.85185185185185,21.285714285714285,21.662921348314608,22.14329268292683,22.199066874027995
125.0,21.037037037037038,21.457142857142856,21.837078651685392,22.307926829268293,22.36547433903577
126.0,21.14814814814815,21.65714285714286,22.078651685393258,22.496951219512194,22.586314152410576
127.0,21.25925925925926,21.742857142857144,22.237827715355806,22.676829268292682,22.788491446345258
128.0,21.48148148148148,21.885714285714286,22.363295880149813,22.817073170731707,22.973561430793158
129.0,21.59259259259259,22.085714285714285,22.54335260115607,23.046583850931675,23.133748055987557
130.0,21.84,22.470588235294116,22.712621359223302,23.209375,23.346333853354135
131.0,21.96,22.558823529411764,22.86990291262136,23.396875,23.553822152886116
132.0,22.08,22.647058823529413,23.132038834951455,23.575,23.725429017160685
133.0,22.24,22.676470588235293,23.28349514563107,23.728125,23.921996879875195
134.0,22.4,22.852941176470587,23.398058252427184,23.871875,24.11544461778471
135.0,22.625,23.25,23.595190380761522,24.111464968152866,24.296411856474258
136.0,22.863636363636363,23.483870967741936,23.691382765531063,24.222929936305732,24.49921996879875
137.0,22.90909090909091,23.516129032258064,23.867735470941884,24.404458598726116,24.673946957878314
138.0,23.227272727272727,23.741935483870968,24.128256513026052,24.573248407643312,24.850234009360374
139.0,23.318181818181817,23.967741935483872,24.304609218436873,24.73248407643312,25.021840873634947
140.0,23.363636363636363,24.06451612903226,24.42685370741483,24.936305732484076,25.223088923556944
141.0,23.666666666666668,24.266666666666666,24.625514403292183,25.125,25.405616224648988
142.0,24.055555555555557,24.266666666666666,24.74020618556701,25.27831715210356,25.61622464898596
143.0,24.166666666666668,24.4,24.92577319587629,25.45631067961165,25.78003120124805
144.0,24.333333333333332,24.7,25.191752577319587,25.631067961165048,25.975039001560063
145.0,24.444444444444443,24.9,25.37525773195876,25.796116504854368,26.17940717628705
146.0,24.5,25.0,25.523711340206187,25.941747572815533,26.37874659400545
147.0,24.61111111111111,25.1,25.706382978723404,26.204013377926422,26.555858310626704
148.0,24.9375,25.275862068965516,25.846153846153847,26.37248322147651,26.734375
149.0,25.375,25.482758620689655,26.012820512820515,26.513422818791945,26.93125
150.0,25.4375,25.689655172413794,26.27991452991453,26.65771812080537,27.092896174863387
151.0,25.5,25.724137931034484,26.433760683760685,26.838926174496645,27.278688524590162
152.0,25.75,25.96551724137931,26.558441558441558,27.023489932885905,27.459016393442624
153.0,26.0,26.214285714285715,26.783369803063458,27.215753424657535,27.676712328767124
154.0,26.0625,26.444444444444443,26.921225382932167,27.35958904109589,27.86697965571205
155.0,26.1875,26.59259259259259,27.089715536105032,27.517123287671232,28.05785123966942
156.0,26.25,26.703703703703702,27.35229759299781,27.681506849315067,28.21212121212121
157.0,26.4375,26.814814814814813,27.516411378555798,27.90753424657534,28.435261707988982
158.0,26.75,26.925925925925927,27.663019693654267,28.054794520547944,28.592286501377412
159.0,27.0,27.11111111111111,27.905191873589164,28.29824561403509,28.796143250688704
160.0,27.066666666666666,27.47826086956522,28.045146726862303,28.440140845070424,28.97965571205008
161.0,27.133333333333333,27.608695652173914,28.218961625282166,28.591549295774648,29.170579029733958
162.0,27.133333333333333,27.82608695652174,28.41176470588235,28.679577464788732,29.386740331491712
163.0,27.466666666666665,27.91304347826087,28.602941176470587,28.883802816901408,29.566510172143975
164.0,27.6,28.0,28.75,29.059859154929576,29.727699530516432
165.0,27.714285714285715,28.363636363636363,29.0,29.304347826086957,29.91692789968652
166.0,28.5,28.61904761904762,29.169014084507044,29.442028985507246,30.105180533751962
167.0,28.5,28.61904761904762,29.342723004694836,29.619565217391305,30.295133437990582
168.0,29.0,28.714285714285715,29.591549295774648,29.76086956521739,30.47645429362881
169.0,29.1,28.80952380952381,29.686567164179106,29.920289855072465,30.670360110803323
170.0,29.2,29.142857142857142,29.880597014925375,30.068840579710145,30.858712715855575
171.0,29.2,29.333333333333332,30.136363636363637,30.344569288389515,31.04866562009419
172.0,29.3,29.476190476190474,30.272727272727273,30.532075471698114,31.211930926216642
173.0,29.4,29.714285714285715,30.454545454545453,30.683018867924527,31.42072213500785
174.0,29.6,29.714285714285715,30.681818181818183,30.815094339622643,31.63736263736264
175.0,29.8,29.761904761904763,30.87878787878788,30.98867924528302,31.808864265927976
176.0,30.0,30.19047619047619,30.96969696969697,31.135849056603774,32.0
177.0,30.1,30.3,31.138461538461538,31.357692307692307,32.17739403453689
178.0,30.2,30.526315789473685,31.23076923076923,31.525096525096526,32.335180055401665
179.0,30.4,30.736842105263158,31.476923076923075,31.667953667953668,32.529085872576175
180.0,30.5,30.842105263157894,31.692307692307693,31.83011583011583,32.69529085872576
181.0,30.6,31.0,31.846153846153847,31.976833976833976,32.89473684210526
182.0,30.8,31.05263157894737,31.953846153846154,32.115830115830114,33.08310249307479
183.0,30.8,31.333333333333332,32.171875,32.404,33.29085872576177
184.0,31.5,31.444444444444443,32.25,32.552,33.486111111111114
185.0,31.5,31.666666666666668,32.375,32.724,33.68445839874411
186.0,31.5,31.72222222222222,32.640625,32.844,33.87441130298273
187.0,31.875,32.05555555555556,32.828125,32.972,34.03888888888889
188.0,32.0,32.166666666666664,32.984375,33.14,34.225
189.0,32.125,32.333333333333336,33.24193548387097,33.40833333333333,34.36944444444445
190.0,32.125,32.44444444444444,33.45161290322581,33.55416666666667,34.55833333333333
191.0,32.25,32.55555555555556,33.62903225806452,33.725,34.75833333333333
192.0,32.5,32.666666666666664,33.82258064516129,33.891666666666666,34.952777777777776
193.0,32.625,32.833333333333336,33.935483870967744,34.03333333333333,35.13055555555555
194.0,32.625,33.0,34.03225806451613,34.2125,35.352777777777774
195.0,32.857142857142854,33.35294117647059,34.36206896551724,34.45652173913044,35.532033426183844
196.0,33.333333333333336,33.470588235294116,34.5,34.6,35.719887955182074
197.0,33.333333333333336,33.76470588235294,34.672413793103445,34.73913043478261,35.90756302521008
198.0,33.5,33.8235294117647,34.87931034482759,34.92173913043478,36.103641456582636
199.0,33.666666666666664,33.88235294117647,35.05172413793103,35.04782608695652,36.28851540616247
200.0,33.833333333333336,34.0,35.189655172413794,35.19565217391305,36.436974789915965
