day,baseline,utilitarian,maximin,egalitarian,average,majoritarian,veto,optimist
32.0,24.347280562253992,24.483039360621493,24.529349318435976,24.987539420112213,24.214940524436386,23.92330958727036,24.36099833449348,24.851058196646996
33.0,25.173674469926176,25.30326013396771,25.365481365838043,25.842753923919844,24.994269317199695,24.71097127647726,25.17619634249405,25.635761330550718
34.0,26.494762056421163,26.365930958316326,26.42396753443618,26.799550545064847,25.97194070499489,25.91137270948679,26.198597616082402,26.64812933781597
35.0,27.224003769264293,27.104630552714465,27.177944043826177,27.553484008438065,26.67663881344045,26.666980387021287,26.931555182947932,27.396190242816225
36.0,28.008191340163517,27.86420802144632,27.97134609273959,28.41014367118255,27.525563523143543,27.37941041763785,27.72332935189276,28.16629589365464
37.0,28.74060799422382,28.654548252300884,28.788023231085248,29.238717933052165,28.32440797873946,28.129389532731494,28.522113584661703,28.959132814813977
38.0,29.564015998200702,29.442048658226433,29.50180001020209,30.041774477590167,29.061211479457377,28.83404705108739,29.30255909082363,29.705540885940138
39.0,30.529599614700448,30.27683967582704,30.30674104064903,30.778269301860586,29.851816757481522,29.682252109715733,30.134107536464125,30.49995614077244
40.0,31.558865249948866,31.361951871858423,31.510586418435377,31.825413225696508,30.819321279223637,30.820291200527627,31.099464461291554,31.598700087462717
41.0,32.24502988170306,32.084377811695106,32.32811990647791,32.62234644945702,31.529548864825728,31.592760511397007,31.847175353484786,32.36499753410311
42.0,32.93204307716072,32.778101523884565,33.109448693780195,33.3536188221061,32.351042870761106,32.33196933065058,32.63956320148789,33.19907126372295
43.0,33.7014536948338,33.58558634285987,33.854273764263844,34.16376260133125,33.1492370081568,33.05868591313762,33.430426337893024,33.98404422052242
44.0,34.45523841087037,34.39843911310881,34.65233992154873,34.945226482248984,33.85931798151034,33.82650080361822,34.13796708957318,34.752862240520884
45.0,35.31252097408224,35.211215262037854,35.484643559939364,35.81406144483055,34.67371139818982,34.71248004185972,35.021336470834086,35.60766722710045
46.0,36.375105439627724,36.22241242443513,36.543866925659,36.80377471575543,35.68327397227236,35.882227713151565,36.0078149424675,36.52139759242657
47.0,37.08939526740854,36.96044285585798,37.36923790315902,37.5958829626971,36.364614284769836,36.65629098890183,36.737646824422015,37.29649548509556
48.0,37.81083592960334,37.693812907408805,38.12238984384791,38.43952263924237,37.2424609894304,37.3208329142888,37.54375416346194,38.08589434074203
49.0,38.62605709146512,38.43863690420342,38.91414243929695,39.21197829993383,38.03957639364211,38.02918707897691,38.29970893460309,38.83761485388798
50.0,39.41313500888515,39.211996339792435,39.71293251159656,39.977350816850304,38.72268789781635,38.821617260144926,39.077949192623606,39.66156578797911
51.0,40.358213380977375,40.0948721340811,40.54748808183296,40.79338417427457,39.55927844112354,39.762756910515854,39.99573790814422,40.426603413883754
52.0,41.33784982563769,41.01677206109335,41.68985231170097,41.74410969616032,40.57266635985373,40.7063270961575,40.875413395701614,41.36306323238088
53.0,42.00309825343531,41.72998650870198,42.51910207416029,42.5439989035788,41.25988730606984,41.413675067903625,41.646948676095874,42.16731844422831
54.0,42.72544690817018,42.477456186406144,43.297418301066436,43.40152244013784,42.009435691584294,42.137037773795655,42.46918978435688,42.89000981328073
55.0,43.46736449854047,43.3241477110928,44.09788778229665,44.2186913372841,42.7862642244023,42.914306955396505,43.226008482521415,43.65963577071101
56.0,44.25002994727799,44.0511112579077,44.85756776008684,44.94836128180914,43.537054246897746,43.61417424499965,44.01360474541388,44.45451793916916
57.0,45.188904375282,44.90873647581182,45.72239175023076,45.754854384128016,44.35946099921434,44.55566650190677,44.90242019711112,45.27421597689419
58.0,46.19683820651616,45.78624719349436,46.791355382095574,46.64457877411833,45.33042977700535,45.48668196318513,45.81209967555761,46.17997155424015
59.0,46.93671160962538,46.534796229883405,47.58221777076962,47.541435452195515,46.06965156996753,46.19141251549679,46.53102490094094,46.97114654499116
60.0,47.630494103143405,47.26900390095973,48.39255615648184,48.37854365421826,46.85044415726865,46.89611940812065,47.293536167421955,47.73985635302339
61.0,48.40088933785259,48.03894859832175,49.18977064911137,49.147696289340324,47.56558531568906,47.55557878877126,48.0194067686905,48.508167838204464
62.0,49.1864818419952,48.79541654385949,49.97979090262616,49.91212709945353,48.327887006879514,48.27114864718943,48.87019447044594,49.24857909935463
63.0,50.122959034442964,49.727256693670455,50.90572817335374,50.71779334144537,49.19012903932411,49.42006044481019,49.721793808287785,50.12579783181338
64.0,51.12123050149847,50.696443625194604,51.9059633887794,51.67462073063179,50.12301020603868,50.31799305004739,50.64013564267586,50.97418823239138
65.0,51.85884731914216,51.510678535903864,52.67602601032405,52.45876544715247,50.88776749176701,51.04710018476536,51.44023064617884,51.766017081561415
66.0,52.53941714398039,52.236780356776244,53.41988872695808,53.30675820657372,51.733959313099845,51.69447249768945,52.16007191403271,52.575859940454066
67.0,53.278802479076916,53.00092885125737,54.218462601191796,54.061121598231914,52.4927723921886,52.369463888552524,52.91234098892281,53.382862416887896
68.0,54.13777051341832,53.78512748234953,54.96068686811023,54.8381870941508,53.252556543358956,53.11643317338267,53.6946951818082,54.17046509498416
69.0,55.051357393331344,54.73776545966374,55.942365549022014,55.62425702138753,54.04239822922723,54.113613670491524,54.624819486258815,54.9979044309938
70.0,55.920436922794586,55.62311502646077,57.047839638689894,56.60607312506987,54.96541721784462,54.918188179026174,55.539935824648346,55.87579023049685
