episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
136,102.0,1383.0,429.0,1716.0,2,29,9.0,36
137,36.0,20484.0,11559.75,46239.0,0,79,52.0,208
138,84.0,3168.0,920.0,3680.0,2,20,7.5,30
139,92.0,1107.0,451.0,1804.0,2,19,9.5,38
140,182.0,8790.0,6111.5,24446.0,4,72,53.75,215
141,41.0,585.0,197.5,790.0,1,9,3.5,14
142,237.0,2226.0,758.5,3034.0,5,24,11.0,44
143,246.0,1809.0,717.0,2868.0,4,13,8.0,32
144,146.0,12666.0,5782.75,23131.0,4,70,37.75,151
145,539.0,6513.0,2057.0,8228.0,8,33,15.25,61
146,41.0,774.0,318.75,1275.0,1,10,5.25,21
147,146.0,16548.0,9762.5,39050.0,4,79,57.0,228
148,36.0,8790.0,2392.0,9568.0,0,68,21.25,85
149,68.0,17772.0,11172.5,44690.0,2,81,58.75,235
150,321.0,15684.0,7190.25,28761.0,7,75,42.0,168
151,225.0,7608.0,2374.5,9498.0,5,71,25.25,101
152,92.0,1152.0,529.25,2117.0,2,14,8.0,32
153,80.0,7308.0,1975.0,7900.0,2,36,12.5,50
154,36.0,3339.0,1233.0,4932.0,0,33,15.25,61
155,128.0,1335.0,482.5,1930.0,3,27,10.25,41
156,57.0,2199.0,990.0,3960.0,1,29,15.5,62
157,155.0,5172.0,1423.25,5693.0,3,68,19.75,79
158,74.0,3510.0,1141.75,4567.0,2,42,14.5,58
159,120.0,26940.0,13205.25,52821.0,2,83,52.75,211
160,3951.0,23202.0,12213.75,48855.0,53,81,70.0,280
161,207.0,1944.0,902.25,3609.0,5,18,11.25,45
162,299.0,1749.0,783.0,3132.0,8,23,14.25,57
163,36.0,2235.0,671.0,2684.0,0,21,7.5,30
164,36.0,3435.0,1010.5,4042.0,0,35,12.25,49
165,345.0,14181.0,4891.5,19566.0,7,59,32.0,128
166,93.0,923.0,330.25,1321.0,1,15,6.25,25
167,71.0,6810.0,1767.25,7069.0,1,68,18.25,73
168,98.0,1695.0,619.0,2476.0,2,15,8.75,35
169,81.0,5376.0,1490.75,5963.0,1,58,17.75,71
170,69.0,1113.0,436.25,1745.0,1,13,6.75,27
171,41.0,17250.0,4386.5,17546.0,1,69,18.75,75
172,171.0,18792.0,11123.25,44493.0,3,78,56.75,227
173,114.0,18684.0,10998.75,43995.0,2,79,56.25,225
174,36.0,6420.0,1648.5,6594.0,0,68,17.5,70
175,110.0,4935.0,1656.5,6626.0,2,41,17.0,68
176,237.0,1608.0,743.75,2975.0,5,16,10.5,42
177,258.0,19902.0,11572.5,46290.0,6,81,58.0,232
178,261.0,13416.0,8025.75,32103.0,5,74,55.0,220
179,41.0,19014.0,4890.25,19561.0,1,68,19.75,79
180,86.0,3402.0,946.0,3784.0,2,26,8.5,34
181,113.0,17376.0,10358.75,41435.0,3,78,58.5,234
182,185.0,5784.0,2856.25,11425.0,5,59,32.5,130
183,798.0,20610.0,12921.0,51684.0,10,77,59.75,239
184,41.0,15498.0,10463.75,41855.0,1,76,57.0,228
185,47.0,1764.0,529.75,2119.0,1,12,5.0,20
186,63.0,2190.0,653.0,2612.0,1,18,6.5,26
187,87.0,9966.0,5057.25,20229.0,1,72,37.75,151
188,41.0,6594.0,2854.75,11419.0,1,71,29.25,117
189,117.0,23130.0,13346.25,53385.0,3,78,56.75,227
190,159.0,10800.0,2915.0,11660.0,3,69,21.5,86
191,95.0,8541.0,2378.0,9512.0,3,49,16.75,67
192,53.0,3684.0,1067.5,4270.0,1,44,13.75,55
193,1083.0,19656.0,11103.75,44415.0,17,80,59.0,236
194,59.0,7092.0,1860.25,7441.0,1,66,18.25,73
195,36.0,11295.0,2961.0,11844.0,0,55,16.5,66
196,122.0,960.0,352.0,1408.0,2,18,6.75,27
197,243.0,12750.0,6174.5,24698.0,5,72,39.5,158
198,2535.0,15402.0,10494.75,41979.0,43,75,66.25,265
199,134.0,18486.0,10808.0,43232.0,4,80,58.25,233
200,74.0,8553.0,2262.25,9049.0,2,43,13.75,55
201,273.0,13104.0,5761.5,23046.0,5,73,39.25,157
202,53.0,249.0,155.0,620.0,1,5,3.0,12
203,108.0,3618.0,1048.25,4193.0,2,20,8.0,32
204,456.0,15570.0,8983.5,35934.0,10,80,58.25,233
